"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2024","12,325","12,450","12,450","12,300","2.31M","-1.00%"
"10/30/2024","12,450","12,600","12,600","12,350","3.92M","-0.99%"
"10/29/2024","12,575","12,650","12,675","12,550","1.74M","-0.59%"
"10/28/2024","12,650","12,575","12,650","12,500","2.16M","0.00%"
"10/25/2024","12,650","12,550","12,850","12,525","3.66M","1.00%"
"10/24/2024","12,525","12,600","12,675","12,500","1.92M","-0.60%"
"10/23/2024","12,600","12,500","12,650","12,500","3.48M","0.60%"
"10/22/2024","12,525","12,600","12,675","12,425","2.55M","0.20%"
"10/21/2024","12,500","12,800","12,800","12,500","3.70M","-2.34%"
"10/18/2024","12,800","12,625","12,850","12,400","5.07M","2.40%"
"10/17/2024","12,500","12,500","12,650","12,350","5.36M","0.00%"
"10/16/2024","12,500","12,750","12,750","12,225","3.72M","-0.60%"
"10/15/2024","12,575","12,350","12,625","12,325","4.11M","1.82%"
"10/14/2024","12,350","12,250","12,500","12,150","3.23M","0.82%"
"10/11/2024","12,250","12,500","12,500","12,075","4.36M","1.66%"
"10/10/2024","12,050","12,075","12,225","12,025","1.91M","-0.21%"
"10/09/2024","12,075","12,200","12,275","12,050","4.27M","-1.83%"
"10/08/2024","12,300","12,000","12,350","11,925","5.78M","2.50%"
"10/07/2024","12,000","12,050","12,150","11,725","4.13M","-1.03%"
"10/04/2024","12,125","12,000","12,250","11,925","5.57M","1.04%"
"10/03/2024","12,000","12,250","12,250","11,950","10.30M","-1.64%"
"10/02/2024","12,200","12,275","12,400","12,025","8.17M","-2.01%"
"10/01/2024","12,450","12,325","12,575","12,100","6.89M","1.01%"
"09/30/2024","12,325","12,650","12,650","12,325","7.36M","-2.57%"
"09/27/2024","12,650","12,800","12,800","12,475","7.14M","-0.98%"
"09/26/2024","12,775","12,650","12,875","12,450","12.98M","2.61%"
"09/25/2024","12,450","12,500","12,500","12,125","7.54M","0.20%"
"09/24/2024","12,425","12,325","12,725","12,250","12.38M","1.84%"
"09/23/2024","12,200","12,125","12,300","12,000","5.24M","1.67%"
"09/20/2024","12,000","11,725","12,350","11,725","11.06M","2.56%"
"09/19/2024","11,700","11,525","11,800","11,450","7.51M","1.74%"
"09/18/2024","11,500","11,375","11,525","11,375","1.92M","0.88%"
"09/17/2024","11,400","11,425","11,450","11,325","3.28M","0.66%"
"09/13/2024","11,325","11,375","11,450","11,325","4.66M","-1.31%"
"09/12/2024","11,475","11,475","11,625","11,475","2.74M","-0.86%"
"09/11/2024","11,575","11,575","11,600","11,525","3.36M","0.00%"
"09/10/2024","11,575","11,675","11,675","11,550","4.44M","-0.22%"
"09/09/2024","11,600","11,450","11,600","11,200","8.83M","1.31%"
"09/06/2024","11,450","11,525","11,700","11,450","4.08M","-1.72%"
"09/05/2024","11,650","11,450","11,725","11,450","7.24M","2.19%"
"09/04/2024","11,400","11,075","11,425","11,075","6.16M","0.22%"
"09/03/2024","11,375","11,425","11,450","11,275","4.46M","-1.09%"
"09/02/2024","11,500","11,400","11,550","11,375","7.51M","0.22%"
"08/30/2024","11,475","11,200","11,475","11,200","7.52M","0.66%"
"08/29/2024","11,400","11,500","11,550","11,400","3.99M","0.00%"
"08/28/2024","11,400","11,475","11,575","11,375","4.72M","-0.22%"
"08/27/2024","11,425","11,425","11,500","11,325","4.36M","0.22%"
"08/26/2024","11,400","11,300","11,425","11,150","6.61M","-0.65%"
"08/23/2024","11,475","11,350","11,500","11,350","4.85M","1.10%"
"08/22/2024","11,350","11,350","11,475","11,250","4.86M","-0.87%"
"08/21/2024","11,450","11,500","11,500","11,350","2.67M","0.22%"
"08/20/2024","11,425","11,400","11,500","11,275","9.56M","0.22%"
"08/19/2024","11,400","11,300","11,400","11,275","5.73M","0.22%"
"08/16/2024","11,375","11,425","11,425","11,100","5.38M","0.89%"
"08/15/2024","11,275","11,375","11,375","11,200","3.78M","-0.66%"
"08/14/2024","11,350","11,100","11,550","11,100","9.08M","1.57%"
"08/13/2024","11,175","11,200","11,200","11,025","5.10M","1.59%"
"08/12/2024","11,000","11,200","11,200","10,950","3.49M","-1.79%"
"08/09/2024","11,200","11,000","11,250","11,000","4.03M","2.05%"
"08/08/2024","10,975","11,050","11,125","10,775","5.06M","-0.68%"
"08/07/2024","11,050","11,000","11,150","10,950","5.62M","0.45%"
"08/06/2024","11,000","11,000","11,100","10,900","7.52M","0.92%"
"08/05/2024","10,900","11,000","11,275","10,675","10.16M","-2.46%"
"08/02/2024","11,175","11,000","11,250","11,000","7.45M","1.59%"
"08/01/2024","11,000","11,000","11,125","10,975","6.66M","0.69%"
"07/31/2024","10,925","10,950","10,950","10,875","2.97M","0.23%"
"07/30/2024","10,900","10,950","10,950","10,800","2.43M","0.69%"
"07/29/2024","10,825","10,900","10,950","10,750","5.73M","-0.23%"
"07/26/2024","10,850","10,875","11,000","10,775","6.81M","0.00%"
"07/25/2024","10,850","10,800","10,875","10,650","3.68M","0.46%"
"07/24/2024","10,800","10,725","10,850","10,650","2.05M","0.70%"
"07/23/2024","10,725","10,825","11,000","10,725","4.95M","-1.61%"
"07/22/2024","10,900","10,900","10,950","10,700","2.85M","0.93%"
"07/19/2024","10,800","10,700","10,800","10,600","4.95M","0.47%"
"07/18/2024","10,750","10,750","10,800","10,650","3.68M","0.00%"
"07/17/2024","10,750","10,550","10,875","10,525","9.91M","2.63%"
"07/16/2024","10,475","10,600","10,600","10,350","1.38M","-0.95%"
"07/15/2024","10,575","10,375","10,575","10,300","3.99M","1.93%"
"07/12/2024","10,375","10,375","10,550","10,300","2.35M","0.73%"
"07/11/2024","10,300","10,325","10,350","10,250","3.37M","0.00%"
"07/10/2024","10,300","10,325","10,325","10,200","3.17M","-0.24%"
"07/09/2024","10,325","10,300","10,425","10,225","10.88M","-0.72%"
"07/08/2024","10,400","10,275","10,400","10,275","6.16M","1.22%"
"07/05/2024","10,275","10,250","10,275","10,175","2.94M","0.49%"
"07/04/2024","10,225","10,275","10,350","10,175","3.80M","-0.49%"
"07/03/2024","10,275","10,275","10,275","10,150","5.32M","0.24%"
"07/02/2024","10,250","10,300","10,300","10,100","3.56M","-0.49%"
"07/01/2024","10,300","10,300","10,400","10,175","2.45M","0.00%"
"06/28/2024","10,300","10,350","10,400","10,275","6.50M","-1.90%"
"06/27/2024","10,500","10,425","10,600","10,325","5.91M","1.20%"
"06/26/2024","10,375","10,200","10,450","10,150","4.92M","2.47%"
"06/25/2024","10,125","10,300","10,325","10,125","3.24M","-1.70%"
"06/24/2024","10,300","10,325","10,375","10,175","1.72M","0.00%"
"06/21/2024","10,300","10,175","10,325","10,025","8.85M","1.23%"
"06/20/2024","10,175","10,200","10,225","10,000","7.63M","-0.25%"
"06/19/2024","10,200","10,500","10,500","10,150","6.18M","-2.86%"
"06/14/2024","10,500","10,675","10,725","10,400","7.61M","-1.64%"
"06/13/2024","10,675","10,600","10,750","10,575","4.24M","0.95%"
"06/12/2024","10,575","10,600","10,650","10,500","4.46M","0.24%"
"06/11/2024","10,550","10,400","10,600","10,400","2.46M","0.48%"
"06/10/2024","10,500","10,575","10,650","10,400","3.38M","-0.71%"
"06/07/2024","10,575","10,600","10,650","10,450","2.83M","-0.24%"
"06/06/2024","10,600","10,500","10,600","10,375","3.30M","1.44%"
"06/05/2024","10,450","10,450","10,525","10,350","3.91M","1.21%"
"06/04/2024","10,325","10,275","10,475","10,250","2.54M","1.23%"
"06/03/2024","10,200","9,875","10,425","9,875","7.16M","4.62%"
"05/31/2024","9,750","10,275","10,425","9,750","13.87M","-3.94%"
"05/30/2024","10,150","10,425","10,425","10,125","6.57M","-2.64%"
"05/29/2024","10,425","10,600","10,600","10,375","2.91M","-1.65%"
"05/28/2024","10,600","10,475","10,775","10,450","4.38M","1.68%"
"05/27/2024","10,425","10,400","10,475","10,150","4.80M","-0.48%"
"05/22/2024","10,475","10,500","10,600","10,375","3.95M","0.72%"
"05/21/2024","10,400","10,550","10,575","10,350","3.63M","-0.95%"
"05/20/2024","10,500","10,600","10,725","10,450","2.33M","-0.47%"
"05/17/2024","10,550","10,575","10,750","10,450","4.10M","-0.24%"
"05/16/2024","10,575","10,700","10,900","10,500","4.84M","-0.24%"
"05/15/2024","10,600","10,300","10,600","10,175","5.44M","2.91%"
"05/14/2024","10,300","10,300","10,400","10,200","8.20M","0.00%"
"05/13/2024","10,300","10,600","10,600","10,025","7.27M","-4.41%"
"05/08/2024","10,775","10,825","10,850","10,575","4.33M","0.00%"
"05/07/2024","10,775","10,900","10,925","10,650","2.88M","-0.69%"
"05/06/2024","10,850","11,150","11,150","10,750","2.85M","0.00%"
"05/03/2024","10,850","10,475","10,850","10,325","3.53M","3.58%"
"05/02/2024","10,475","10,875","10,875","10,300","5.93M","-3.68%"
"04/30/2024","10,875","10,700","10,975","10,700","6.66M","1.87%"
"04/29/2024","10,675","10,750","10,800","10,575","4.50M","0.71%"
"04/26/2024","10,600","10,700","10,775","10,550","4.08M","-0.93%"
"04/25/2024","10,700","10,275","10,925","10,100","16.92M","5.16%"
"04/24/2024","10,175","9,925","10,225","9,925","8.08M","2.52%"
"04/23/2024","9,925","9,825","10,025","9,825","5.55M","1.28%"
"04/22/2024","9,800","9,850","9,975","9,650","8.33M","0.77%"
"04/19/2024","9,725","9,975","10,000","9,600","11.50M","-3.71%"
"04/18/2024","10,100","10,150","10,175","9,800","11.02M","-0.49%"
"04/17/2024","10,150","10,050","10,300","10,050","14.37M","0.50%"
"04/16/2024","10,100","10,300","10,625","10,075","18.88M","-6.91%"
"04/05/2024","10,850","11,050","11,050","10,850","2.24M","-1.59%"
"04/04/2024","11,025","11,000","11,100","10,950","2.53M","0.23%"
"04/03/2024","11,000","11,200","11,200","10,925","2.47M","-1.79%"
"04/02/2024","11,200","11,250","11,250","11,025","4.36M","-0.22%"
"04/01/2024","11,225","11,375","11,375","11,000","5.79M","-3.23%"
"03/28/2024","11,600","11,025","11,600","10,850","8.58M","5.45%"
"03/27/2024","11,000","10,875","11,150","10,875","5.18M","1.38%"
"03/26/2024","10,850","10,550","11,000","10,350","17.11M","-3.13%"
"03/25/2024","11,200","11,125","11,300","11,025","4.03M","0.67%"
"03/22/2024","11,125","11,000","11,125","10,900","5.28M","1.60%"
"03/21/2024","10,950","11,225","11,225","10,950","8.37M","-2.45%"
"03/20/2024","11,225","11,000","11,225","10,975","4.77M","2.05%"
"03/19/2024","11,000","10,900","11,225","10,750","12.23M","1.38%"
"03/18/2024","10,850","10,750","10,950","10,750","9.33M","1.17%"
"03/15/2024","10,725","10,750","10,800","10,600","15.47M","-1.61%"
"03/14/2024","10,900","10,725","10,900","10,650","9.41M","1.63%"
"03/13/2024","10,725","10,750","10,850","10,600","13.55M","-0.46%"
"03/08/2024","10,775","10,600","10,900","10,600","10.09M","0.70%"
"03/07/2024","10,700","11,150","11,150","10,700","14.19M","-4.04%"
"03/06/2024","11,150","11,350","11,350","11,100","4.60M","-1.98%"
"03/05/2024","11,375","11,450","11,475","11,350","3.56M","-0.66%"
"03/04/2024","11,450","11,625","11,625","11,450","3.31M","-1.51%"
"03/01/2024","11,625","11,475","11,625","11,475","9.25M","0.65%"
"02/29/2024","11,550","11,600","11,625","11,450","5.97M","-0.43%"
"02/28/2024","11,600","11,600","11,625","11,550","1.58M","0.00%"
"02/27/2024","11,600","11,550","11,650","11,500","3.93M","0.43%"
"02/26/2024","11,550","11,575","11,650","11,475","3.28M","0.00%"
"02/23/2024","11,550","11,650","11,650","11,450","4.54M","-0.43%"
"02/22/2024","11,600","11,525","11,625","11,475","4.28M","1.09%"
"02/21/2024","11,475","11,550","11,550","11,325","4.24M","-0.65%"
"02/20/2024","11,550","11,575","11,650","11,450","4.74M","-0.22%"
"02/19/2024","11,575","11,450","11,650","11,400","3.11M","1.09%"
"02/16/2024","11,450","11,650","11,675","11,425","6.01M","-1.72%"
"02/15/2024","11,650","11,625","11,750","11,625","7.00M","2.42%"
"02/13/2024","11,375","11,650","11,650","11,375","5.87M","-2.36%"
"02/12/2024","11,650","11,500","11,650","11,425","6.51M","1.97%"
"02/07/2024","11,425","11,575","11,575","11,425","2.81M","-0.87%"
"02/06/2024","11,525","11,500","11,550","11,450","2.82M","0.44%"
"02/05/2024","11,475","11,575","11,575","11,425","2.37M","-0.86%"
"02/02/2024","11,575","11,550","11,725","11,425","6.56M","0.00%"
"02/01/2024","11,575","11,625","11,775","11,375","7.74M","-1.70%"
"01/31/2024","11,775","11,225","11,825","11,225","16.69M","4.90%"
"01/30/2024","11,225","11,400","11,425","11,200","3.67M","-1.54%"
