"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2024","7,600","7,525","7,650","7,500","25.84M","1.67%"
"10/30/2024","7,475","7,575","7,575","7,450","9.56M","-1.32%"
"10/29/2024","7,575","7,500","7,575","7,450","10.86M","0.66%"
"10/28/2024","7,525","7,500","7,525","7,375","4.96M","0.33%"
"10/25/2024","7,500","7,575","7,575","7,450","6.07M","-0.33%"
"10/24/2024","7,525","7,500","7,550","7,475","9.34M","0.33%"
"10/23/2024","7,500","7,450","7,550","7,425","19.21M","1.01%"
"10/22/2024","7,425","7,400","7,475","7,350","14.44M","0.34%"
"10/21/2024","7,400","7,400","7,425","7,325","8.43M","-0.34%"
"10/18/2024","7,425","7,225","7,475","7,200","23.78M","3.48%"
"10/17/2024","7,175","7,175","7,275","7,175","5.42M","0.00%"
"10/16/2024","7,175","7,250","7,275","7,150","8.88M","-0.35%"
"10/15/2024","7,200","7,050","7,250","7,050","17.97M","2.13%"
"10/14/2024","7,050","7,000","7,100","6,975","3.97M","0.71%"
"10/11/2024","7,000","7,100","7,100","6,975","4.47M","-0.36%"
"10/10/2024","7,025","7,000","7,100","6,925","11.88M","1.44%"
"10/09/2024","6,925","7,000","7,025","6,925","9.82M","-1.07%"
"10/08/2024","7,000","6,925","7,000","6,850","8.90M","1.08%"
"10/07/2024","6,925","7,000","7,000","6,825","10.83M","-1.77%"
"10/04/2024","7,050","7,100","7,125","7,000","5.62M","-0.70%"
"10/03/2024","7,100","7,075","7,150","7,050","6.84M","0.35%"
"10/02/2024","7,075","7,125","7,150","7,025","9.65M","-1.39%"
"10/01/2024","7,175","7,050","7,175","7,050","10.45M","1.77%"
"09/30/2024","7,050","7,175","7,175","7,050","11.72M","-1.74%"
"09/27/2024","7,175","7,250","7,250","7,175","9.53M","-0.69%"
"09/26/2024","7,225","7,200","7,250","7,175","18.00M","0.70%"
"09/25/2024","7,175","7,175","7,175","7,075","17.99M","0.00%"
"09/24/2024","7,175","7,125","7,175","7,075","15.04M","1.06%"
"09/23/2024","7,100","7,150","7,175","7,075","12.87M","-0.70%"
"09/20/2024","7,150","7,100","7,200","7,075","26.48M","1.06%"
"09/19/2024","7,075","7,100","7,150","7,075","10.92M","0.00%"
"09/18/2024","7,075","7,125","7,150","7,050","5.43M","-0.35%"
"09/17/2024","7,100","7,100","7,150","7,025","7.88M","0.00%"
"09/13/2024","7,100","7,150","7,200","7,050","10.83M","-0.70%"
"09/12/2024","7,150","7,050","7,175","6,975","22.47M","2.14%"
"09/11/2024","7,000","7,000","7,025","6,950","9.46M","-0.71%"
"09/10/2024","7,050","6,950","7,050","6,925","12.14M","1.81%"
"09/09/2024","6,925","7,000","7,025","6,850","7.13M","-1.42%"
"09/06/2024","7,025","6,925","7,075","6,900","14.30M","0.72%"
"09/05/2024","6,975","6,700","6,975","6,700","24.21M","4.10%"
"09/04/2024","6,700","6,725","6,725","6,650","8.27M","-1.11%"
"09/03/2024","6,775","6,700","6,775","6,675","11.65M","0.74%"
"09/02/2024","6,725","6,825","6,825","6,725","7.86M","-1.82%"
"08/30/2024","6,850","6,800","6,850","6,725","22.11M","0.74%"
"08/29/2024","6,800","6,825","6,825","6,750","13.27M","-0.37%"
"08/28/2024","6,825","6,825","6,825","6,700","9.44M","0.37%"
"08/27/2024","6,800","6,875","6,900","6,725","12.17M","-0.73%"
"08/26/2024","6,850","6,700","6,850","6,675","14.05M","2.24%"
"08/23/2024","6,700","6,650","6,725","6,575","12.45M","0.75%"
"08/22/2024","6,650","6,575","6,650","6,550","12.11M","0.38%"
"08/21/2024","6,625","6,550","6,650","6,525","15.69M","1.53%"
"08/20/2024","6,525","6,500","6,525","6,425","15.26M","1.16%"
"08/19/2024","6,450","6,525","6,525","6,375","10.03M","-1.15%"
"08/16/2024","6,525","6,500","6,525","6,400","9.53M","0.77%"
"08/15/2024","6,475","6,500","6,550","6,400","9.58M","-0.38%"
"08/14/2024","6,500","6,325","6,650","6,325","29.98M","2.77%"
"08/13/2024","6,325","6,275","6,350","6,275","10.45M","1.20%"
"08/12/2024","6,250","6,275","6,300","6,225","5.56M","-0.40%"
"08/09/2024","6,275","6,225","6,275","6,175","7.07M","0.80%"
"08/08/2024","6,225","6,150","6,225","6,125","9.40M","1.63%"
"08/07/2024","6,125","6,075","6,150","6,075","4.24M","0.41%"
"08/06/2024","6,100","6,025","6,150","6,025","11.58M","0.83%"
"08/05/2024","6,050","6,075","6,100","5,950","12.49M","-0.82%"
"08/02/2024","6,100","6,150","6,175","6,100","6.43M","-0.81%"
"08/01/2024","6,150","6,075","6,250","6,025","15.24M","0.41%"
"07/31/2024","6,125","6,075","6,125","6,025","14.63M","1.24%"
"07/30/2024","6,050","6,125","6,125","6,000","4.10M","-0.41%"
"07/29/2024","6,075","6,075","6,150","6,075","4.81M","-0.82%"
"07/26/2024","6,125","6,125","6,150","6,050","5.43M","0.41%"
"07/25/2024","6,100","6,000","6,100","5,975","9.09M","1.67%"
"07/24/2024","6,000","6,100","6,125","5,975","9.93M","-1.64%"
"07/23/2024","6,100","6,050","6,100","6,025","5.03M","1.24%"
"07/22/2024","6,025","6,100","6,100","6,000","4.42M","-0.82%"
"07/19/2024","6,075","6,050","6,075","5,975","6.00M","0.00%"
"07/18/2024","6,075","6,050","6,075","6,000","5.35M","0.41%"
"07/17/2024","6,050","5,975","6,050","5,950","7.00M","1.68%"
"07/16/2024","5,950","5,975","5,975","5,925","3.61M","-0.42%"
"07/15/2024","5,975","5,975","6,000","5,925","3.83M","0.42%"
"07/12/2024","5,950","5,975","6,000","5,950","4.14M","0.42%"
"07/11/2024","5,925","6,000","6,025","5,925","6.35M","-1.25%"
"07/10/2024","6,000","5,975","6,025","5,950","7.02M","0.84%"
"07/09/2024","5,950","5,975","6,000","5,900","10.61M","-4.03%"
"07/08/2024","6,200","6,125","6,200","6,125","11.88M","1.22%"
"07/05/2024","6,125","6,100","6,125","6,075","5.05M","0.82%"
"07/04/2024","6,075","6,100","6,125","6,075","3.88M","-0.41%"
"07/03/2024","6,100","6,100","6,100","6,025","6.80M","0.00%"
"07/02/2024","6,100","6,100","6,125","6,050","6.21M","0.00%"
"07/01/2024","6,100","6,075","6,100","6,025","8.02M","0.41%"
"06/28/2024","6,075","6,000","6,150","6,000","10.54M","0.83%"
"06/27/2024","6,025","5,950","6,050","5,925","6.28M","2.12%"
"06/26/2024","5,900","5,950","5,950","5,875","7.73M","-0.84%"
"06/25/2024","5,950","5,950","5,975","5,875","5.32M","0.42%"
"06/24/2024","5,925","6,025","6,025","5,925","6.29M","-0.84%"
"06/21/2024","5,975","5,925","6,100","5,900","17.31M","0.84%"
