Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
2021-01-04,6835,6.8,6.855,6.72,"47,94M","0,96%"
2021-01-05,7090,6.86,7.09,6.85,"104,83M","3,73%"
2021-01-06,6945,7.05,7.075,6.88,"89,75M","-2,05%"
2021-01-07,6965,7.0,7.05,6.91,"71,36M","0,29%"
2021-01-08,7050,7.035,7.08,6.975,"75,03M","1,22%"
2021-01-11,7345,7.15,7.36,7.145,"169,03M","4,18%"
2021-01-12,7160,7.345,7.38,7.16,"95,24M","-2,52%"
2021-01-13,7120,7.245,7.275,7.07,"76,58M","-0,56%"
2021-01-14,7020,7.05,7.09,6.995,"89,32M","-1,40%"
2021-01-15,6955,7.095,7.1,6.84,"89,85M","-0,93%"
2021-01-18,7120,6.955,7.125,6.845,"86,34M","2,37%"
2021-01-19,7095,7.12,7.12,7.005,"73,78M","-0,35%"
2021-01-20,7095,7.165,7.295,7.07,"107,22M","0,00%"
2021-01-21,7075,7.28,7.3,7.06,"66,43M","-0,28%"
2021-01-22,7080,7.075,7.16,7.075,"80,83M","0,07%"
2021-01-25,7035,7.2,7.2,7.0,"76,84M","-0,64%"
2021-01-26,6820,6.955,7.0,6.82,"98,66M","-3,06%"
2021-01-27,6790,6.82,6.93,6.705,"97,92M","-0,44%"
2021-01-28,6900,6.79,6.925,6.79,"104,63M","1,62%"
2021-01-29,6760,6.9,7.0,6.76,"132,76M","-2,03%"
2021-02-01,6820,6.76,6.92,6.595,"113,13M","0,89%"
2021-02-02,6800,6.965,6.98,6.8,"86,74M","-0,29%"
2021-02-03,6825,7.0,7.0,6.825,"67,29M","0,37%"
2021-02-04,6855,6.92,7.0,6.835,"80,95M","0,44%"
2021-02-05,6915,6.87,6.95,6.855,"51,60M","0,88%"
2021-02-08,6920,7.05,7.055,6.88,"45,60M","0,07%"
2021-02-09,6980,7.0,7.03,6.955,"75,57M","0,87%"
2021-02-10,6920,7.05,7.05,6.9,"44,98M","-0,86%"
2021-02-11,6880,6.985,6.985,6.84,"36,93M","-0,58%"
2021-02-15,6800,6.83,6.89,6.72,"83,92M","-1,16%"
2021-02-16,6940,6.88,6.945,6.83,"47,22M","2,06%"
2021-02-17,6900,6.89,6.96,6.85,"66,01M","-0,58%"
2021-02-18,6735,6.85,6.9,6.735,"91,20M","-2,39%"
2021-02-19,6825,6.78,6.85,6.76,"70,49M","1,34%"
2021-02-22,6790,6.9,6.94,6.79,"68,91M","-0,51%"
2021-02-23,6825,6.82,6.845,6.775,"58,36M","0,52%"
2021-02-24,6725,6.825,6.835,6.725,"71,87M","-1,47%"
2021-02-25,6705,6.74,6.77,6.68,"78,69M","-0,30%"
2021-02-26,6710,6.705,6.81,6.645,"173,63M","0,07%"
2021-03-01,7045,6.83,7.045,6.8,"205,54M","4,99%"
2021-03-02,7015,7.12,7.16,7.0,"81,45M","-0,43%"
2021-03-03,7000,7.065,7.085,7.0,"84,47M","-0,21%"
2021-03-04,6720,6.905,7.0,6.72,"120,80M","-4,00%"
2021-03-05,6800,6.72,6.925,6.72,"111,87M","1,19%"
2021-03-08,6720,6.95,6.95,6.72,"90,88M","-1,18%"
2021-03-09,6605,6.7,6.715,6.6,"135,58M","-1,71%"
2021-03-10,6705,6.72,6.72,6.62,"50,30M","1,51%"
2021-03-12,6765,6.875,6.88,6.715,"74,33M","0,89%"
2021-03-15,6665,6.815,6.82,6.665,"57,42M","-1,48%"
2021-03-16,6625,6.71,6.71,6.62,"70,76M","-0,60%"
2021-03-17,6610,6.65,6.665,6.605,"71,47M","-0,23%"
2021-03-18,6705,6.62,6.72,6.61,"70,07M","1,44%"
2021-03-19,6760,6.77,6.77,6.625,"125,85M","0,82%"
2021-03-22,6620,6.64,6.68,6.61,"67,52M","-2,07%"
2021-03-23,6565,6.72,6.72,6.555,"127,76M","-0,83%"
2021-03-24,6440,6.515,6.55,6.42,"152,05M","-1,90%"
2021-03-25,6370,6.4,6.44,6.33,"119,10M","-1,09%"
2021-03-26,6415,6.37,6.445,6.3,"134,47M","0,71%"
2021-03-29,6360,6.41,6.515,6.36,"113,37M","-0,86%"
2021-03-30,6395,6.37,6.455,6.37,"83,12M","0,55%"
2021-03-31,6215,6.39,6.395,6.145,"223,39M","-2,81%"
2021-04-01,6225,6.215,6.27,6.155,"112,29M","0,16%"
2021-04-05,6155,6.25,6.29,6.155,"73,31M","-1,12%"
2021-04-06,6165,6.135,6.17,6.08,"80,22M","0,16%"
2021-04-07,6250,6.155,6.275,6.135,"107,91M","1,38%"
2021-04-08,6135,6.2,6.215,6.125,"123,70M","-1,84%"
2021-04-09,6200,6.315,6.32,6.145,"116,96M","1,06%"
2021-04-12,6065,6.295,6.295,6.06,"110,41M","-2,18%"
2021-04-13,6000,6.05,6.06,5.98,"119,21M","-1,07%"
2021-04-14,6305,6.105,6.305,6.06,"135,52M","5,08%"
2021-04-15,6280,6.305,6.31,6.18,"102,69M","-0,40%"
2021-04-16,6275,6.37,6.37,6.215,"79,29M","-0,08%"
2021-04-19,6270,6.275,6.28,6.23,"47,10M","-0,08%"
2021-04-20,6235,6.2,6.25,6.185,"72,72M","-0,56%"
2021-04-21,6165,6.2,6.225,6.165,"68,40M","-1,12%"
2021-04-22,6215,6.2,6.275,6.18,"63,76M","0,81%"
2021-04-23,6390,6.28,6.395,6.225,"108,50M","2,82%"
2021-04-26,6285,6.395,6.4,6.28,"108,74M","-1,64%"
2021-04-27,6405,6.37,6.435,6.355,"132,65M","1,91%"
2021-04-28,6320,6.4,6.405,6.315,"87,66M","-1,33%"
2021-04-29,6410,6.46,6.46,6.36,"57,36M","1,42%"
2021-04-30,6405,6.45,6.45,6.38,"65,83M","-0,08%"
2021-05-03,6390,6.48,6.48,6.345,"42,07M","-0,23%"
2021-05-04,6400,6.35,6.43,6.34,"50,12M","0,16%"
2021-05-05,6425,6.42,6.43,6.4,"51,69M","0,39%"
2021-05-06,6425,6.4,6.45,6.4,"38,12M","0,00%"
2021-05-07,6400,6.46,6.46,6.385,"48,86M","-0,39%"
2021-05-10,6420,6.4,6.42,6.395,"68,18M","0,31%"
2021-05-11,6480,6.4,6.48,6.305,"70,68M","0,93%"
2021-05-17,6500,6.5,6.5,6.375,"129,06M","0,31%"
2021-05-18,6390,6.4,6.455,6.365,"73,56M","-1,69%"
2021-05-19,6345,6.38,6.4,6.335,"64,91M","-0,70%"
2021-05-20,6380,6.39,6.435,6.35,"64,95M","0,55%"
2021-05-21,6360,6.45,6.45,6.26,"92,62M","-0,31%"
2021-05-24,6325,6.355,6.38,6.29,"59,21M","-0,55%"
2021-05-25,6355,6.3,6.44,6.3,"87,47M","0,47%"
2021-05-27,6270,6.44,6.48,6.27,"537,97M","-1,34%"
2021-05-28,6340,6.33,6.37,6.33,"102,11M","1,12%"
2021-05-31,6375,6.36,6.39,6.325,"101,44M","0,55%"
2021-06-02,6465,6.5,6.515,6.42,"141,73M","1,41%"
2021-06-03,6600,6.495,6.6,6.43,"133,81M","2,09%"
2021-06-04,6580,6.62,6.62,6.5,"62,11M","-0,30%"
2021-06-07,6530,6.56,6.57,6.43,"62,58M","-0,76%"
2021-06-08,6430,6.575,6.575,6.43,"64,35M","-1,53%"
2021-06-09,6530,6.36,6.535,6.36,"77,20M","1,56%"
2021-06-10,6620,6.555,6.62,6.49,"73,26M","1,38%"
2021-06-11,6470,6.57,6.58,6.46,"72,78M","-2,27%"
2021-06-14,6410,6.52,6.52,6.4,"61,48M","-0,93%"
2021-06-15,6470,6.445,6.47,6.405,"87,80M","0,94%"
2021-06-16,6385,6.42,6.435,6.36,"48,98M","-1,31%"
2021-06-17,6330,6.39,6.39,6.275,"68,45M","-0,86%"
2021-06-18,6325,6.3,6.345,6.28,"118,04M","-0,08%"
2021-06-21,6250,6.3,6.3,6.21,"60,82M","-1,19%"
2021-06-22,6340,6.25,6.39,6.24,"65,82M","1,44%"
2021-06-23,6230,6.295,6.34,6.23,"52,45M","-1,74%"
2021-06-24,6210,6.31,6.31,6.2,"56,01M","-0,32%"
2021-06-25,6190,6.23,6.26,6.19,"68,94M","-0,32%"
2021-06-28,6055,6.1,6.15,6.055,"84,42M","-2,18%"
2021-06-29,6045,6.05,6.09,6.04,"53,70M","-0,17%"
2021-06-30,6025,6.0,6.07,6.0,"65,80M","-0,33%"
2021-07-01,6025,6.06,6.075,6.0,"58,15M","0,00%"
