Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.;Perubahan%
30/04/2024;9800;10.05;10.05;9.8;109,62M;0,00%
29/04/2024;9800;9.525;9.85;9.525;90,06M;1,82%
26/04/2024;9625;9.7;9.825;9.625;100,93M;-1,53%
25/04/2024;9775;10;10;9.7;104,87M;-1,76%
24/04/2024;9950;9.825;9.95;9.75;132,83M;2,31%
23/04/2024;9725;9.4;9.775;9.375;181,70M;4,01%
22/04/2024;9350;9.4;9.425;9.35;128,91M;-1,32%
19/04/2024;9475;9.35;9.5;9.3;147,78M;0,00%
18/04/2024;9475;9.525;9.575;9.45;127,13M;-0,52%
17/04/2024;9525;9.55;9.675;9.525;95,62M;0,53%
16/04/2024;9475;9.35;9.575;9.25;283,27M;-3,56%
5/4/2024;9825;9.95;9.95;9.825;70,43M;-0,25%
4/4/2024;9850;9.575;9.85;9.575;77,27M;3,41%
3/4/2024;9525;9.75;9.8;9.525;177,42M;-3,79%
2/4/2024;9900;9.925;9.95;9.8;76,76M;0,51%
1/4/2024;9850;10.075;10.1;9.825;79,25M;-2,23%
28/03/2024;10075;10.025;10.1;9.975;79,23M;0,00%
27/03/2024;10075;10.025;10.075;10;39,51M;0,25%
26/03/2024;10050;9.95;10.05;9.95;65,74M;-0,25%
25/03/2024;10075;9.925;10.075;9.925;66,97M;-0,25%
22/03/2024;10100;10;10.125;9.95;120,53M;-0,25%
21/03/2024;10125;10.175;10.225;10.05;90,28M;0,00%
20/03/2024;10125;10.1;10.15;10.075;66,27M;-0,49%
19/03/2024;10175;10.15;10.25;10.15;55,00M;0,25%
18/03/2024;10150;10.175;10.275;10.15;62,44M;0,00%
15/03/2024;10150;10.2;10.3;10.05;154,18M;-1,69%
14/03/2024;10325;10.05;10.325;10.025;110,68M;3,25%
13/03/2024;10000;10.4;10.4;10;141,62M;-1,48%
8/3/2024;10150;10.25;10.3;10.125;100,95M;0,25%
7/3/2024;10125;10.05;10.175;10;118,37M;1,76%
6/3/2024;9950;9.9;10;9.775;70,24M;1,53%
5/3/2024;9800;9.9;9.9;9.775;61,95M;0,51%
4/3/2024;9750;9.8;9.825;9.75;43,82M;-0,76%
1/3/2024;9825;9.9;9.925;9.8;51,52M;-0,51%
29/02/2024;9875;10;10;9.85;127,02M;-1,25%
28/02/2024;10000;9.975;10;9.9;66,95M;1,27%
27/02/2024;9875;9.75;9.9;9.75;43,74M;0,77%
26/02/2024;9800;9.75;9.875;9.725;53,82M;-0,25%
23/02/2024;9825;9.9;9.925;9.8;55,19M;-0,51%
22/02/2024;9875;9.975;9.975;9.875;66,91M;-1,00%
21/02/2024;9975;9.95;10;9.85;75,55M;-0,50%
20/02/2024;10025;9.85;10.025;9.85;64,00M;1,52%
19/02/2024;9875;9.9;9.975;9.825;53,34M;-0,75%
16/02/2024;9950;9.975;10;9.875;142,28M;1,02%
15/02/2024;9850;9.95;9.975;9.85;164,75M;1,29%
13/02/2024;9725;9.75;9.8;9.7;66,07M;-0,77%
12/2/2024;9800;9.75;9.8;9.7;99,80M;1,03%
7/2/2024;9700;9.7;9.725;9.65;93,32M;0,78%
6/2/2024;9625;9.75;9.75;9.625;87,65M;0,52%
5/2/2024;9575;9.675;9.675;9.525;57,98M;-1,29%
2/2/2024;9700;9.775;9.8;9.625;99,32M;0,00%
1/2/2024;9700;9.65;9.725;9.575;109,29M;1,57%
31/01/2024;9550;9.7;9.7;9.55;102,58M;-1,04%
30/01/2024;9650;9.5;9.65;9.475;73,14M;1,05%
29/01/2024;9550;9.4;9.55;9.375;73,45M;2,14%
26/01/2024;9350;9.4;9.45;9.3;78,98M;-1,58%
25/01/2024;9500;9.45;9.575;9.45;63,21M;-0,26%
24/01/2024;9525;9.6;9.6;9.475;84,91M;-0,78%
23/01/2024;9600;9.45;9.6;9.45;92,35M;-0,26%
22/01/2024;9625;9.6;9.65;9.525;52,87M;0,00%
19/01/2024;9625;9.775;9.775;9.6;63,18M;-0,52%
18/01/2024;9675;9.675;9.75;9.625;71,05M;-0,77%
17/01/2024;9750;9.75;9.75;9.65;107,71M;0,52%
16/01/2024;9700;9.7;9.75;9.675;44,87M;-0,26%
15/01/2024;9725;9.75;9.75;9.65;88,58M;0,26%
12/1/2024;9700;9.65;9.7;9.6;68,25M;1,31%
11/1/2024;9575;9.625;9.65;9.575;51,58M;0,26%
10/1/2024;9550;9.65;9.65;9.55;52,77M;-0,78%
9/1/2024;9625;9.6;9.625;9.575;59,85M;0,52%
8/1/2024;9575;9.6;9.625;9.475;50,90M;0,00%
5/1/2024;9575;9.5;9.6;9.475;85,29M;1,06%
4/1/2024;9475;9.4;9.475;9.375;77,29M;1,34%
3/1/2024;9350;9.425;9.425;9.325;34,60M;-0,80%
2/1/2024;9425;9.4;9.425;9.35;30,55M;0,27%
29/12/2023;9400;9.425;9.45;9.35;79,90M;0,00%
28/12/2023;9400;9.325;9.425;9.325;70,18M;0,27%
