Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
2024-04-01,9850,10.075,10.1,9.825,"79,25M","-2,23%"
2024-04-02,9900,9.925,9.95,9.8,"76,76M","0,51%"
2024-04-03,9525,9.75,9.8,9.525,"177,42M","-3,79%"
2024-04-04,9850,9.575,9.85,9.575,"77,27M","3,41%"
2024-04-05,9825,9.95,9.95,9.825,"70,43M","-0,25%"
2024-04-16,9475,9.35,9.575,9.25,"283,27M","-3,56%"
2024-04-17,9525,9.55,9.675,9.525,"95,62M","0,53%"
2024-04-18,9475,9.525,9.575,9.45,"127,13M","-0,52%"
2024-04-19,9475,9.35,9.5,9.3,"147,78M","0,00%"
2024-04-22,9350,9.4,9.425,9.35,"128,91M","-1,32%"
2024-04-23,9725,9.4,9.775,9.375,"181,70M","4,01%"
2024-04-24,9950,9.825,9.95,9.75,"132,83M","2,31%"
2024-04-25,9775,10.0,10.0,9.7,"104,87M","-1,76%"
2024-04-26,9625,9.7,9.825,9.625,"100,93M","-1,53%"
2024-04-29,9800,9.525,9.85,9.525,"90,06M","1,82%"
2024-04-30,9800,10.05,10.05,9.8,"109,62M","0,00%"
2024-05-02,9550,9.9,9.9,9.5,"97,08M","-2,55%"
2024-05-03,9850,9.75,9.85,9.675,"84,03M","3,14%"
2024-05-06,9800,9.85,9.875,9.775,"53,08M","-0,51%"
2024-05-07,9700,9.7,9.75,9.625,"66,75M","-1,02%"
2024-05-08,9375,9.6,9.7,9.375,"112,81M","-3,35%"
2024-05-13,9525,9.2,9.525,9.2,"145,47M","1,60%"
2024-05-14,9550,9.625,9.675,9.525,"95,36M","0,26%"
2024-05-15,9500,9.5,9.6,9.425,"54,74M","-0,52%"
2024-05-16,9600,9.575,9.675,9.525,"61,13M","1,05%"
2024-05-17,9750,9.6,9.85,9.575,"99,85M","1,56%"
2024-05-20,9475,9.7,9.8,9.475,"87,89M","-2,82%"
2024-05-21,9375,9.45,9.575,9.375,"75,71M","-1,06%"
2024-05-22,9425,9.475,9.575,9.325,"121,71M","0,53%"
