Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.;Perubahan%
30/08/2024;10325;10.325;10.325;10.2;158,40M;0,98%
29/08/2024;10225;10.5;10.5;10.225;53,00M;-1,21%
28/08/2024;10350;10.3;10.35;10.25;38,49M;1,47%
27/08/2024;10200;10.275;10.3;10.175;60,45M;-1,21%
26/08/2024;10325;10.275;10.375;10.25;35,15M;0,00%
23/08/2024;10325;10.325;10.375;10.3;46,65M;0,00%
22/08/2024;10325;10.35;10.4;10.225;56,61M;-0,96%
21/08/2024;10425;10.5;10.5;10.425;84,85M;0,00%
20/08/2024;10425;10.325;10.45;10.3;60,30M;0,48%
19/08/2024;10375;10.325;10.425;10.275;51,05M;0,48%
16/08/2024;10325;10.3;10.325;10.25;40,73M;0,98%
15/08/2024;10225;10.2;10.3;10.175;33,40M;0,25%
14/08/2024;10200;10.3;10.3;10.2;48,00M;-0,97%
13/08/2024;10300;10.25;10.3;10.175;55,21M;0,98%
12/8/2024;10200;10.1;10.2;10.075;40,36M;0,49%
9/8/2024;10150;10.225;10.25;10.1;47,06M;-0,73%
8/8/2024;10225;10.15;10.225;10.075;54,16M;1,24%
7/8/2024;10100;10;10.1;10;52,35M;1,00%
6/8/2024;10000;10.075;10.075;9.95;78,47M;1,27%
5/8/2024;9875;10;10.15;9.875;126,33M;-3,19%
2/8/2024;10200;10.275;10.35;10.2;55,77M;-1,69%
1/8/2024;10375;10.2;10.375;10.2;61,18M;0,97%
31/07/2024;10275;10.35;10.35;10.225;82,52M;0,98%
30/07/2024;10175;10.3;10.3;10.175;32,20M;-0,73%
29/07/2024;10250;10.4;10.425;10.175;69,09M;-0,73%
26/07/2024;10325;10.375;10.4;10.3;75,57M;0,24%
25/07/2024;10300;10.225;10.3;10.2;98,09M;2,23%
24/07/2024;10075;10.125;10.175;10.075;24,66M;-0,98%
23/07/2024;10175;10.2;10.2;10.125;39,32M;0,74%
22/07/2024;10100;10.125;10.15;10.1;31,29M;-0,25%
19/07/2024;10125;10.05;10.125;9.975;53,88M;0,25%
18/07/2024;10100;9.8;10.1;9.8;65,38M;3,06%
17/07/2024;9800;9.9;9.95;9.8;90,67M;-1,51%
16/07/2024;9950;9.975;10.025;9.95;37,19M;-1,00%
15/07/2024;10050;10.05;10.075;9.95;36,68M;-0,25%
12/7/2024;10075;10.05;10.1;10.025;79,03M;0,00%
11/7/2024;10075;10;10.125;10;55,91M;-0,25%
10/7/2024;10100;10.175;10.225;10.05;62,33M;0,25%
9/7/2024;10075;10.1;10.15;10.075;61,85M;0,25%
8/7/2024;10050;10;10.05;9.95;72,90M;1,01%
5/7/2024;9950;9.925;9.975;9.875;36,95M;1,27%
4/7/2024;9825;9.975;10;9.825;67,05M;-1,75%
3/7/2024;10000;9.975;10;9.925;55,86M;1,01%
2/7/2024;9900;10;10;9.85;78,85M;0,25%
1/7/2024;9875;9.85;9.9;9.825;68,63M;-0,50%
28/06/2024;9925;9.8;9.975;9.775;166,17M;1,79%
27/06/2024;9750;9.575;9.75;9.55;89,15M;2,63%
26/06/2024;9500;9.525;9.65;9.45;77,91M;-1,04%
25/06/2024;9600;9.6;9.6;9.45;80,03M;0,00%
24/06/2024;9600;9.6;9.75;9.575;79,59M;0,00%
21/06/2024;9600;9.475;9.675;9.4;167,76M;1,86%
20/06/2024;9425;9.15;9.425;9.1;81,47M;4,14%
19/06/2024;9050;9.25;9.25;9.05;100,05M;-1,63%
14/06/2024;9200;9.2;9.25;9.1;52,99M;0,00%
13/06/2024;9200;9.475;9.475;9.2;84,65M;-0,54%
12/6/2024;9250;9.3;9.325;9.25;49,79M;-0,54%
11/6/2024;9300;9.55;9.55;9.3;68,69M;-2,36%
10/6/2024;9525;9.5;9.525;9.45;45,58M;2,14%
7/6/2024;9325;9.5;9.5;9.325;51,60M;-1,58%
6/6/2024;9475;9.525;9.525;9.45;44,99M;0,26%
5/6/2024;9450;9.5;9.5;9.3;85,71M;1,07%
4/6/2024;9350;9.525;9.525;9.35;75,35M;0,81%
3/6/2024;9275;9.35;9.35;9.225;72,20M;0,27%
31/05/2024;9250;9.1;9.25;9.025;756,43M;2,78%
30/05/2024;9000;9;9.25;8.775;207,12M;-1,64%
29/05/2024;9150;9.275;9.325;9.15;117,35M;-1,61%
28/05/2024;9300;9.3;9.4;9.3;73,95M;0,00%
27/05/2024;9300;9.3;9.375;9.275;128,58M;-1,33%
22/05/2024;9425;9.475;9.575;9.325;121,71M;0,53%
21/05/2024;9375;9.45;9.575;9.375;75,71M;-1,06%
20/05/2024;9475;9.7;9.8;9.475;87,89M;-2,82%
17/05/2024;9750;9.6;9.85;9.575;99,85M;1,56%
16/05/2024;9600;9.575;9.675;9.525;61,13M;1,05%
15/05/2024;9500;9.5;9.6;9.425;54,74M;-0,52%
14/05/2024;9550;9.625;9.675;9.525;95,36M;0,26%
13/05/2024;9525;9.2;9.525;9.2;145,47M;1,60%
8/5/2024;9375;9.6;9.7;9.375;112,81M;-3,35%
7/5/2024;9700;9.7;9.75;9.625;66,75M;-1,02%
6/5/2024;9800;9.85;9.875;9.775;53,08M;-0,51%
3/5/2024;9850;9.75;9.85;9.675;84,03M;3,14%
2/5/2024;9550;9.9;9.9;9.5;97,08M;-2,55%
30/04/2024;9800;10.05;10.05;9.8;109,62M;0,00%
29/04/2024;9800;9.525;9.85;9.525;90,06M;1,82%
26/04/2024;9625;9.7;9.825;9.625;100,93M;-1,53%
