Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.;Perubahan%
4/1/2021;7475;7.45;7.5;7.35;8,20M;1,70%
5/1/2021;7375;7.475;7.5;7.375;11,87M;-1,34%
6/1/2021;7200;7.375;7.4;7.175;24,43M;-2,37%
7/1/2021;7200;7.2;7.25;7.125;14,69M;0,00%
8/1/2021;7175;7.25;7.275;7.125;24,67M;-0,35%
11/1/2021;7200;7.175;7.35;7.1;25,59M;0,35%
12/1/2021;7100;7.25;7.275;7.1;20,90M;-1,39%
13/01/2021;7025;7.2;7.2;7;28,19M;-1,06%
14/01/2021;7000;7.025;7.075;7;27,72M;-0,36%
15/01/2021;6950;7;7.05;6.925;18,78M;-0,71%
18/01/2021;7500;6.95;7.525;6.9;44,94M;7,91%
19/01/2021;7575;7.8;8;7.525;108,58M;1,00%
20/01/2021;7400;7.6;7.675;7.325;34,82M;-2,31%
21/01/2021;7325;7.4;7.5;7.325;16,70M;-1,01%
22/01/2021;7275;7.375;7.4;7.225;14,72M;-0,68%
25/01/2021;7250;7.275;7.325;7.025;17,03M;-0,34%
26/01/2021;7250;7.275;7.475;7.175;17,95M;0,00%
27/01/2021;7125;7.325;7.35;7.05;14,63M;-1,72%
28/01/2021;7075;7.1;7.175;6.925;20,72M;-0,70%
29/01/2021;6925;7.075;7.225;6.9;36,43M;-2,12%
1/2/2021;7025;6.9;7.1;6.8;15,32M;1,44%
2/2/2021;7000;7.1;7.125;6.95;11,68M;-0,36%
3/2/2021;7175;7.1;7.325;7;16,73M;2,50%
4/2/2021;7300;7.25;7.325;7.175;17,61M;1,74%
5/2/2021;7225;7.325;7.35;7.2;11,30M;-1,03%
8/2/2021;7100;7.225;7.25;7.1;14,01M;-1,73%
9/2/2021;7100;7.15;7.175;7.025;10,39M;0,00%
10/2/2021;7150;7.15;7.15;7.025;6,02M;0,70%
11/2/2021;7175;7.175;7.175;7.1;3,70M;0,35%
15/02/2021;7050;7.175;7.175;7.025;8,25M;-1,74%
16/02/2021;7025;7.1;7.1;7;11,53M;-0,35%
17/02/2021;7100;7;7.1;6.975;6,98M;1,07%
18/02/2021;6975;7.075;7.1;6.975;11,09M;-1,76%
19/02/2021;6950;6.975;6.975;6.9;8,79M;-0,36%
22/02/2021;6875;6.975;7;6.875;14,95M;-1,08%
23/02/2021;6850;6.9;6.925;6.8;12,86M;-0,36%
24/02/2021;6850;6.85;6.95;6.85;10,34M;0,00%
25/02/2021;6775;6.85;6.9;6.75;14,02M;-1,09%
26/02/2021;7000;6.75;7;6.675;26,87M;3,32%
1/3/2021;6825;7;7;6.8;13,05M;-2,50%
2/3/2021;6825;6.825;6.85;6.725;17,35M;0,00%
3/3/2021;6875;6.825;6.9;6.775;8,28M;0,73%
4/3/2021;6725;6.875;6.875;6.725;10,78M;-2,18%
5/3/2021;6725;6.7;6.75;6.675;6,03M;0,00%
8/3/2021;6650;6.8;6.8;6.625;10,14M;-1,12%
9/3/2021;6550;6.7;6.7;6.475;18,69M;-1,50%
10/3/2021;6575;6.575;6.625;6.525;6,46M;0,38%
12/3/2021;6700;6.575;6.7;6.575;6,98M;1,90%
15/03/2021;6575;6.7;6.725;6.575;12,55M;-1,87%
16/03/2021;6550;6.575;6.65;6.525;12,11M;-0,38%
17/03/2021;6475;6.55;6.6;6.475;10,23M;-1,15%
18/03/2021;6600;6.5;6.6;6.5;12,74M;1,93%
19/03/2021;6750;6.6;6.75;6.525;24,00M;2,27%
22/03/2021;6700;6.75;6.775;6.675;6,04M;-0,74%
23/03/2021;6750;6.675;6.8;6.675;8,84M;0,75%
24/03/2021;6575;6.725;6.75;6.55;11,04M;-2,59%
25/03/2021;6650;6.6;6.65;6.5;10,70M;1,14%
26/03/2021;6600;6.65;6.7;6.6;5,55M;-0,75%
29/03/2021;6725;6.6;6.775;6.575;11,96M;1,89%
30/03/2021;6550;6.7;6.725;6.525;14,71M;-2,60%
31/03/2021;6575;6.6;6.6;6.45;14,36M;0,38%
1/4/2021;6625;6.575;6.7;6.525;9,11M;0,76%
5/4/2021;6475;6.625;6.625;6.475;5,80M;-2,26%
6/4/2021;6475;6.5;6.525;6.45;5,01M;0,00%
7/4/2021;6525;6.475;6.55;6.45;5,10M;0,77%
8/4/2021;6600;6.525;6.8;6.525;10,88M;1,15%
9/4/2021;6475;6.6;6.625;6.475;9,48M;-1,89%
12/4/2021;6325;6.5;6.55;6.3;15,82M;-2,32%
13/04/2021;6225;6.35;6.35;6.15;12,98M;-1,58%
14/04/2021;6300;6.25;6.325;6.225;5,45M;1,20%
15/04/2021;6400;6.3;6.4;6.225;8,91M;1,59%
16/04/2021;6325;6.4;6.45;6.25;7,48M;-1,17%
19/04/2021;6300;6.35;6.375;6.225;7,03M;-0,40%
