Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
2024-04-30,2620,2.59,2.67,2.56,"21,07M","1,16%"
2024-04-29,2590,2.6,2.61,2.48,"20,63M","0,00%"
2024-04-26,2590,2.65,2.75,2.59,"31,84M","-1,89%"
2024-04-25,2640,2.5,2.69,2.5,"49,64M","10,46%"
2024-04-24,2390,2.35,2.42,2.35,"14,64M","2,58%"
2024-04-23,2330,2.42,2.43,2.33,"13,23M","-3,32%"
2024-04-22,2410,2.4,2.43,2.37,"6,97M","1,26%"
2024-04-19,2380,2.38,2.44,2.33,"13,20M","-0,42%"
2024-04-18,2390,2.37,2.43,2.37,"13,30M","0,84%"
2024-04-17,2370,2.54,2.55,2.37,"35,91M","-6,69%"
2024-04-16,2540,2.6,2.63,2.54,"20,69M","-5,22%"
2024-04-05,2680,2.71,2.73,2.68,"4,69M","-1,11%"
2024-04-04,2710,2.69,2.79,2.69,"15,09M","0,74%"
2024-04-03,2690,2.74,2.74,2.67,"10,53M","-1,82%"
2024-04-02,2740,2.72,2.74,2.7,"7,45M","0,37%"
2024-04-01,2730,2.7,2.73,2.63,"10,89M","1,11%"
2024-03-28,2700,2.73,2.74,2.65,"22,41M","-1,10%"
2024-03-27,2730,2.73,2.77,2.72,"8,17M","-1,44%"
2024-03-26,2770,2.76,2.77,2.73,"12,14M","0,36%"
2024-03-25,2760,2.72,2.76,2.69,"9,64M","1,47%"
2024-03-22,2720,2.72,2.75,2.67,"16,02M","0,00%"
2024-03-21,2720,2.76,2.78,2.72,"10,19M","-1,45%"
2024-03-20,2760,2.76,2.82,2.74,"20,53M","0,73%"
2024-03-19,2740,2.78,2.79,2.74,"7,21M","-1,08%"
2024-03-18,2770,2.64,2.8,2.64,"31,87M","4,92%"
2024-03-15,2640,2.66,2.69,2.62,"31,98M","-1,86%"
2024-03-14,2690,2.72,2.72,2.66,"23,62M","-1,10%"
2024-03-13,2720,2.72,2.72,2.66,"18,54M","2,26%"
2024-03-08,2660,2.73,2.74,2.66,"9,29M","-2,56%"
2024-03-07,2730,2.7,2.73,2.68,"18,96M","1,49%"
2024-03-06,2690,2.68,2.72,2.67,"8,40M","0,75%"
2024-03-05,2670,2.67,2.69,2.64,"9,04M","0,00%"
2024-03-04,2670,2.73,2.74,2.66,"9,76M","-2,20%"
2024-03-01,2730,2.71,2.73,2.66,"13,02M","0,00%"
2024-02-29,2730,2.71,2.73,2.64,"33,04M","1,11%"
2024-02-28,2700,2.62,2.72,2.61,"28,09M","3,05%"
2024-02-27,2620,2.59,2.64,2.57,"23,07M","1,16%"
2024-02-26,2590,2.69,2.69,2.59,"32,98M","-3,72%"
2024-02-23,2690,2.73,2.74,2.66,"14,97M","-1,10%"
2024-02-22,2720,2.69,2.74,2.69,"14,45M","1,12%"
2024-02-21,2690,2.76,2.77,2.65,"42,78M","-2,54%"
2024-02-20,2760,2.8,2.82,2.76,"25,79M","-1,43%"
2024-02-19,2800,2.83,2.87,2.8,"19,25M","-1,06%"
2024-02-16,2830,2.93,2.94,2.83,"22,77M","-3,41%"
2024-02-15,2930,2.86,2.94,2.83,"37,99M","4,64%"
2024-02-13,2800,2.92,2.93,2.8,"56,55M","-4,11%"
2024-02-12,2920,3.17,3.17,2.92,"82,25M","-10,70%"
2024-02-07,3270,3.25,3.28,3.24,"12,54M","0,62%"
2024-02-06,3250,3.22,3.27,3.17,"14,52M","1,56%"
2024-02-05,3200,3.19,3.24,3.18,"16,18M","0,95%"
2024-02-02,3170,3.1,3.2,3.1,"18,04M","2,26%"
2024-02-01,3100,3.1,3.13,3.09,"12,76M","0,00%"
2024-01-31,3100,3.13,3.15,3.1,"18,46M","-0,96%"
2024-01-30,3130,3.08,3.13,3.01,"26,09M","1,62%"
2024-01-29,3080,3.16,3.16,3.07,"13,85M","-2,53%"
2024-01-26,3160,3.16,3.17,3.13,"5,35M","0,00%"
2024-01-25,3160,3.19,3.2,3.15,"11,17M","-1,25%"
2024-01-24,3200,3.18,3.22,3.15,"8,52M","0,63%"
2024-01-23,3180,3.14,3.2,3.13,"17,21M","1,92%"
2024-01-22,3120,3.22,3.24,3.12,"22,07M","-3,70%"
2024-01-19,3240,3.3,3.3,3.21,"15,82M","-1,82%"
2024-01-18,3300,3.33,3.34,3.29,"14,86M","-0,60%"
2024-01-17,3320,3.44,3.44,3.31,"30,69M","-2,64%"
2024-01-16,3410,3.43,3.47,3.41,"5,86M","-0,58%"
2024-01-15,3430,3.47,3.48,3.43,"7,95M","-1,15%"
2024-01-12,3470,3.43,3.48,3.41,"8,75M","1,76%"
2024-01-11,3410,3.45,3.45,3.41,"3,29M","0,00%"
2024-01-10,3410,3.43,3.48,3.41,"12,28M","-0,58%"
2024-01-09,3430,3.48,3.49,3.42,"6,68M","-1,44%"
2024-01-08,3480,3.53,3.56,3.47,"7,22M","-1,14%"
2024-01-05,3520,3.54,3.58,3.52,"7,58M","0,00%"
2024-01-04,3520,3.53,3.56,3.52,"6,94M","-0,28%"
2024-01-03,3530,3.55,3.56,3.52,"3,25M","-0,56%"
2024-01-02,3550,3.53,3.55,3.5,"6,00M","0,57%"
2023-12-29,3530,3.54,3.55,3.5,"6,00M","-0,28%"
2023-12-28,3540,3.5,3.57,3.5,"12,31M","2,02%"
2023-12-27,3470,3.47,3.52,3.45,"8,12M","0,00%"
2023-12-22,3470,3.47,3.49,3.44,"6,67M","0,00%"
2023-12-21,3470,3.47,3.48,3.44,"4,50M","0,29%"
2023-12-20,3460,3.43,3.52,3.42,"15,67M","0,87%"
2023-12-19,3430,3.41,3.44,3.38,"6,94M","0,59%"
2023-12-18,3410,3.48,3.48,3.38,"10,58M","-2,57%"
2023-12-15,3500,3.4,3.5,3.33,"24,91M","2,94%"
2023-12-14,3400,3.45,3.45,3.4,"9,55M","-1,45%"
2023-12-13,3450,3.43,3.46,3.4,"5,87M","0,58%"
