"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"02/05/2024","2.640","2.620","2.640","2.570","12,79M","0,76%"
"03/05/2024","2.600","2.640","2.650","2.570","12,20M","-1,52%"
"06/05/2024","2.600","2.650","2.650","2.570","4,22M","0,00%"
"07/05/2024","2.540","2.600","2.600","2.530","8,63M","-2,31%"
"08/05/2024","2.560","2.540","2.580","2.530","11,51M","0,79%"
"13/05/2024","2.650","2.560","2.690","2.560","23,95M","3,52%"
"14/05/2024","2.700","2.670","2.710","2.640","10,09M","1,89%"
"15/05/2024","2.680","2.700","2.710","2.650","7,51M","-0,74%"
"16/05/2024","2.700","2.680","2.700","2.660","8,08M","0,75%"
"17/05/2024","2.710","2.700","2.750","2.700","9,95M","0,37%"
"20/05/2024","2.700","2.710","2.750","2.680","6,97M","-0,37%"
"21/05/2024","2.910","2.710","2.910","2.700","44,63M","7,78%"
"22/05/2024","3.060","2.910","3.090","2.870","50,45M","5,15%"
"27/05/2024","3.260","3.090","3.270","3.090","54,57M","6,54%"
"28/05/2024","3.280","3.290","3.390","3.160","29,38M","0,61%"
"29/05/2024","3.010","3.280","3.280","2.970","28,32M","-8,23%"
"30/05/2024","3.110","3.000","3.190","2.970","32,05M","3,32%"
"31/05/2024","3.120","3.160","3.230","3.120","93,44M","0,32%"
"03/06/2024","3.080","3.150","3.190","3.070","16,63M","-1,28%"
"04/06/2024","3.130","3.080","3.200","3.070","20,12M","1,62%"
"05/06/2024","3.070","3.140","3.160","3.060","16,08M","-1,92%"
"06/06/2024","3.080","3.080","3.170","3.070","9,10M","0,33%"
"07/06/2024","3.010","3.080","3.100","3.010","18,55M","-2,27%"
"10/06/2024","3.070","3.010","3.160","3.010","16,34M","1,99%"
"11/06/2024","3.060","3.090","3.120","3.050","9,31M","-0,33%"
"12/06/2024","3.060","3.060","3.120","3.020","9,45M","0,00%"
"13/06/2024","3.060","3.060","3.120","3.060","11,47M","0,00%"
"14/06/2024","3.200","3.090","3.210","3.070","31,69M","4,58%"
"19/06/2024","3.070","3.200","3.200","3.060","26,71M","-4,06%"
"20/06/2024","3.040","3.090","3.100","2.950","15,90M","-0,98%"
"21/06/2024","2.990","3.040","3.100","2.990","32,00M","-1,64%"
"24/06/2024","3.010","3.010","3.060","3.010","11,46M","0,67%"
"25/06/2024","3.010","3.010","3.030","3.000","6,41M","0,00%"
"26/06/2024","3.010","3.010","3.050","2.990","10,00M","0,00%"
"27/06/2024","3.080","3.030","3.100","3.010","11,45M","2,33%"
"28/06/2024","3.020","3.070","3.100","3.020","22,98M","-1,95%"
"01/07/2024","2.960","2.990","3.000","2.950","19,11M","-1,99%"
"02/07/2024","2.970","2.960","2.980","2.940","18,08M","0,34%"
"03/07/2024","2.940","2.970","2.970","2.920","13,48M","-1,01%"
"04/07/2024","2.920","2.930","2.950","2.900","9,16M","-0,68%"
"05/07/2024","2.910","2.920","2.940","2.910","3,81M","-0,34%"
"08/07/2024","3.050","2.920","3.050","2.920","13,33M","4,81%"
"09/07/2024","3.000","3.070","3.080","2.970","9,92M","-1,64%"
"10/07/2024","2.960","3.000","3.010","2.950","7,29M","-1,33%"
"11/07/2024","2.900","2.970","2.990","2.900","15,62M","-2,03%"
"12/07/2024","2.920","2.910","2.950","2.900","8,18M","0,69%"
"15/07/2024","2.930","2.940","2.950","2.890","11,02M","0,34%"
"16/07/2024","2.810","2.930","2.930","2.810","16,54M","-4,10%"
"17/07/2024","2.860","2.830","2.880","2.820","6,44M","1,78%"
"18/07/2024","2.800","2.860","2.880","2.800","15,39M","-2,10%"
