Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.;Perubahan%
2/5/2024;2640;2.62;2.64;2.57;12,79M;0,76%
3/5/2024;2600;2.64;2.65;2.57;12,20M;-1,52%
6/5/2024;2600;2.65;2.65;2.57;4,22M;0,00%
7/5/2024;2540;2.6;2.6;2.53;8,63M;-2,31%
8/5/2024;2560;2.54;2.58;2.53;11,51M;0,79%
13/05/2024;2650;2.56;2.69;2.56;23,95M;3,52%
14/05/2024;2700;2.67;2.71;2.64;10,09M;1,89%
15/05/2024;2680;2.7;2.71;2.65;7,51M;-0,74%
16/05/2024;2700;2.68;2.7;2.66;8,08M;0,75%
17/05/2024;2710;2.7;2.75;2.7;9,95M;0,37%
20/05/2024;2700;2.71;2.75;2.68;6,97M;-0,37%
21/05/2024;2910;2.71;2.91;2.7;44,63M;7,78%
22/05/2024;3060;2.91;3.09;2.87;50,45M;5,15%
27/05/2024;3260;3.09;3.27;3.09;54,57M;6,54%
28/05/2024;3280;3.29;3.39;3.16;29,38M;0,61%
29/05/2024;3010;3.28;3.28;2.97;28,32M;-8,23%
30/05/2024;3110;3;3.19;2.97;32,05M;3,32%
31/05/2024;3120;3.16;3.23;3.12;93,44M;0,32%
3/6/2024;3080;3.15;3.19;3.07;16,63M;-1,28%
4/6/2024;3130;3.08;3.2;3.07;20,12M;1,62%
5/6/2024;3070;3.14;3.16;3.06;16,08M;-1,92%
6/6/2024;3080;3.08;3.17;3.07;9,10M;0,33%
7/6/2024;3010;3.08;3.1;3.01;18,55M;-2,27%
10/6/2024;3070;3.01;3.16;3.01;16,34M;1,99%
11/6/2024;3060;3.09;3.12;3.05;9,31M;-0,33%
12/6/2024;3060;3.06;3.12;3.02;9,45M;0,00%
13/06/2024;3060;3.06;3.12;3.06;11,47M;0,00%
14/06/2024;3200;3.09;3.21;3.07;31,69M;4,58%
19/06/2024;3070;3.2;3.2;3.06;26,71M;-4,06%
20/06/2024;3040;3.09;3.1;2.95;15,90M;-0,98%
21/06/2024;2990;3.04;3.1;2.99;32,00M;-1,64%
24/06/2024;3010;3.01;3.06;3.01;11,46M;0,67%
25/06/2024;3010;3.01;3.03;3;6,41M;0,00%
26/06/2024;3010;3.01;3.05;2.99;10,00M;0,00%
27/06/2024;3080;3.03;3.1;3.01;11,45M;2,33%
28/06/2024;3020;3.07;3.1;3.02;22,98M;-1,95%
1/7/2024;2960;2.99;3;2.95;19,11M;-1,99%
2/7/2024;2970;2.96;2.98;2.94;18,08M;0,34%
3/7/2024;2940;2.97;2.97;2.92;13,48M;-1,01%
4/7/2024;2920;2.93;2.95;2.9;9,16M;-0,68%
5/7/2024;2910;2.92;2.94;2.91;3,81M;-0,34%
8/7/2024;3050;2.92;3.05;2.92;13,33M;4,81%
9/7/2024;3000;3.07;3.08;2.97;9,92M;-1,64%
10/7/2024;2960;3;3.01;2.95;7,29M;-1,33%
11/7/2024;2900;2.97;2.99;2.9;15,62M;-2,03%
12/7/2024;2920;2.91;2.95;2.9;8,18M;0,69%
15/07/2024;2930;2.94;2.95;2.89;11,02M;0,34%
16/07/2024;2810;2.93;2.93;2.81;16,54M;-4,10%
17/07/2024;2860;2.83;2.88;2.82;6,44M;1,78%
18/07/2024;2800;2.86;2.88;2.8;15,39M;-2,10%
19/07/2024;2800;2.8;2.83;2.77;13,04M;0,00%
22/07/2024;2740;2.8;2.83;2.73;11,84M;-2,14%
23/07/2024;2730;2.74;2.77;2.71;9,98M;-0,36%
24/07/2024;2720;2.73;2.74;2.7;8,82M;-0,37%
25/07/2024;2490;2.6;2.63;2.46;49,71M;-8,46%
26/07/2024;2490;2.5;2.52;2.48;10,43M;0,00%
29/07/2024;2460;2.49;2.52;2.45;15,27M;-1,20%
30/07/2024;2430;2.48;2.48;2.41;13,42M;-1,22%
31/07/2024;2440;2.44;2.45;2.41;12,82M;0,41%
1/8/2024;2500;2.44;2.51;2.44;12,30M;2,46%
2/8/2024;2430;2.5;2.54;2.43;12,72M;-2,80%
5/8/2024;2410;2.43;2.45;2.37;12,80M;-0,82%
6/8/2024;2460;2.43;2.49;2.41;13,82M;2,07%
7/8/2024;2480;2.46;2.48;2.44;7,54M;0,81%
8/8/2024;2460;2.47;2.5;2.46;6,24M;-0,81%
9/8/2024;2460;2.47;2.49;2.44;4,07M;0,00%
12/8/2024;2460;2.46;2.48;2.44;6,17M;0,00%
13/08/2024;2450;2.47;2.47;2.43;9,96M;-0,41%
14/08/2024;2430;2.45;2.46;2.41;19,70M;-0,82%
15/08/2024;2380;2.41;2.43;2.38;14,68M;-2,06%
16/08/2024;2390;2.39;2.41;2.38;15,34M;0,42%
19/08/2024;2360;2.39;2.41;2.34;27,23M;-1,26%
20/08/2024;2370;2.36;2.41;2.34;47,60M;0,42%
21/08/2024;2360;2.38;2.43;2.36;59,00M;-0,42%
22/08/2024;2350;2.36;2.39;2.33;23,16M;-0,42%
23/08/2024;2350;2.35;2.38;2.35;17,70M;0,00%
26/08/2024;2350;2.35;2.38;2.33;20,40M;0,00%
27/08/2024;2290;2.35;2.36;2.25;53,07M;-2,55%
28/08/2024;2250;2.29;2.29;2.24;33,92M;-1,75%
29/08/2024;2240;2.25;2.28;2.24;16,90M;-0,44%
30/08/2024;2270;2.24;2.28;2.24;35,05M;1,34%
