Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
2024-08-30,2270,2.24,2.28,2.24,"35,05M","1,34%"
2024-08-29,2240,2.25,2.28,2.24,"16,90M","-0,44%"
2024-08-28,2250,2.29,2.29,2.24,"33,92M","-1,75%"
2024-08-27,2290,2.35,2.36,2.25,"53,07M","-2,55%"
2024-08-26,2350,2.35,2.38,2.33,"20,40M","0,00%"
2024-08-23,2350,2.35,2.38,2.35,"17,70M","0,00%"
2024-08-22,2350,2.36,2.39,2.33,"23,16M","-0,42%"
2024-08-21,2360,2.38,2.43,2.36,"59,00M","-0,42%"
2024-08-20,2370,2.36,2.41,2.34,"47,60M","0,42%"
2024-08-19,2360,2.39,2.41,2.34,"27,23M","-1,26%"
2024-08-16,2390,2.39,2.41,2.38,"15,34M","0,42%"
2024-08-15,2380,2.41,2.43,2.38,"14,68M","-2,06%"
2024-08-14,2430,2.45,2.46,2.41,"19,70M","-0,82%"
2024-08-13,2450,2.47,2.47,2.43,"9,96M","-0,41%"
2024-08-12,2460,2.46,2.48,2.44,"6,17M","0,00%"
2024-08-09,2460,2.47,2.49,2.44,"4,07M","0,00%"
2024-08-08,2460,2.47,2.5,2.46,"6,24M","-0,81%"
2024-08-07,2480,2.46,2.48,2.44,"7,54M","0,81%"
2024-08-06,2460,2.43,2.49,2.41,"13,82M","2,07%"
2024-08-05,2410,2.43,2.45,2.37,"12,80M","-0,82%"
2024-08-02,2430,2.5,2.54,2.43,"12,72M","-2,80%"
2024-08-01,2500,2.44,2.51,2.44,"12,30M","2,46%"
2024-07-31,2440,2.44,2.45,2.41,"12,82M","0,41%"
2024-07-30,2430,2.48,2.48,2.41,"13,42M","-1,22%"
2024-07-29,2460,2.49,2.52,2.45,"15,27M","-1,20%"
2024-07-26,2490,2.5,2.52,2.48,"10,43M","0,00%"
2024-07-25,2490,2.6,2.63,2.46,"49,71M","-8,46%"
2024-07-24,2720,2.73,2.74,2.7,"8,82M","-0,37%"
2024-07-23,2730,2.74,2.77,2.71,"9,98M","-0,36%"
2024-07-22,2740,2.8,2.83,2.73,"11,84M","-2,14%"
2024-07-19,2800,2.8,2.83,2.77,"13,04M","0,00%"
2024-07-18,2800,2.86,2.88,2.8,"15,39M","-2,10%"
2024-07-17,2860,2.83,2.88,2.82,"6,44M","1,78%"
2024-07-16,2810,2.93,2.93,2.81,"16,54M","-4,10%"
2024-07-15,2930,2.94,2.95,2.89,"11,02M","0,34%"
2024-07-12,2920,2.91,2.95,2.9,"8,18M","0,69%"
2024-07-11,2900,2.97,2.99,2.9,"15,62M","-2,03%"
2024-07-10,2960,3.0,3.01,2.95,"7,29M","-1,33%"
2024-07-09,3000,3.07,3.08,2.97,"9,92M","-1,64%"
2024-07-08,3050,2.92,3.05,2.92,"13,33M","4,81%"
2024-07-05,2910,2.92,2.94,2.91,"3,81M","-0,34%"
2024-07-04,2920,2.93,2.95,2.9,"9,16M","-0,68%"
2024-07-03,2940,2.97,2.97,2.92,"13,48M","-1,01%"
2024-07-02,2970,2.96,2.98,2.94,"18,08M","0,34%"
2024-07-01,2960,2.99,3.0,2.95,"19,11M","-1,99%"
2024-06-28,3020,3.07,3.1,3.02,"22,98M","-1,95%"
2024-06-27,3080,3.03,3.1,3.01,"11,45M","2,33%"
2024-06-26,3010,3.01,3.05,2.99,"10,00M","0,00%"
2024-06-25,3010,3.01,3.03,3.0,"6,41M","0,00%"
2024-06-24,3010,3.01,3.06,3.01,"11,46M","0,67%"
2024-06-21,2990,3.04,3.1,2.99,"32,00M","-1,64%"
2024-06-20,3040,3.09,3.1,2.95,"15,90M","-0,98%"
2024-06-19,3070,3.2,3.2,3.06,"26,71M","-4,06%"
2024-06-14,3200,3.09,3.21,3.07,"31,69M","4,58%"
2024-06-13,3060,3.06,3.12,3.06,"11,47M","0,00%"
2024-06-12,3060,3.06,3.12,3.02,"9,45M","0,00%"
2024-06-11,3060,3.09,3.12,3.05,"9,31M","-0,33%"
2024-06-10,3070,3.01,3.16,3.01,"16,34M","1,99%"
2024-06-07,3010,3.08,3.1,3.01,"18,55M","-2,27%"
2024-06-06,3080,3.08,3.17,3.07,"9,10M","0,33%"
