"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2024","2,600","2,580","2,630","2,540","13.09M","0.78%"
"10/30/2024","2,580","2,540","2,610","2,410","23.66M","1.18%"
"10/29/2024","2,550","2,610","2,660","2,550","10.06M","-2.30%"
"10/28/2024","2,610","2,610","2,620","2,560","5.19M","0.38%"
"10/25/2024","2,600","2,630","2,660","2,600","8.07M","-1.14%"
"10/24/2024","2,630","2,650","2,650","2,620","10.14M","-0.75%"
"10/23/2024","2,650","2,640","2,670","2,640","5.40M","0.00%"
"10/22/2024","2,650","2,670","2,680","2,640","7.90M","-0.38%"
"10/21/2024","2,660","2,680","2,680","2,640","8.35M","-0.37%"
"10/18/2024","2,670","2,650","2,690","2,650","7.13M","0.75%"
"10/17/2024","2,650","2,670","2,680","2,640","12.18M","-0.38%"
"10/16/2024","2,660","2,680","2,690","2,640","9.97M","-0.75%"
"10/15/2024","2,680","2,660","2,680","2,640","8.15M","1.13%"
"10/14/2024","2,650","2,640","2,670","2,630","6.28M","0.38%"
"10/11/2024","2,640","2,620","2,670","2,610","11.55M","0.76%"
"10/10/2024","2,620","2,720","2,770","2,600","31.39M","-3.32%"
"10/09/2024","2,710","2,820","2,820","2,710","19.55M","-4.24%"
"10/08/2024","2,830","2,820","2,850","2,800","4.83M","0.71%"
"10/07/2024","2,810","2,890","2,910","2,790","8.55M","-2.43%"
"10/04/2024","2,880","2,880","2,940","2,880","7.02M","0.35%"
"10/03/2024","2,870","2,890","2,920","2,820","4.84M","-1.03%"
"10/02/2024","2,900","2,980","2,980","2,880","6.13M","-2.36%"
"10/01/2024","2,970","2,850","3,010","2,850","16.78M","4.58%"
"09/30/2024","2,840","2,940","2,960","2,820","10.57M","-3.07%"
"09/27/2024","2,930","2,880","2,960","2,870","14.19M","2.09%"
"09/26/2024","2,870","2,760","2,930","2,760","17.23M","4.74%"
"09/25/2024","2,740","2,780","2,800","2,740","6.29M","-1.08%"
"09/24/2024","2,770","2,770","2,800","2,760","6.26M","-1.07%"
"09/23/2024","2,800","2,830","2,890","2,760","8.91M","-1.06%"
"09/20/2024","2,830","2,770","2,900","2,760","12.56M","1.80%"
"09/19/2024","2,780","2,720","2,820","2,720","15.86M","1.83%"
"09/18/2024","2,730","2,710","2,760","2,700","3.72M","0.74%"
"09/17/2024","2,710","2,710","2,730","2,700","6.18M","0.00%"
"09/13/2024","2,710","2,780","2,810","2,690","6.72M","-2.52%"
"09/12/2024","2,780","2,700","2,830","2,690","7.15M","2.96%"
"09/11/2024","2,700","2,730","2,740","2,690","4.16M","-1.10%"
"09/10/2024","2,730","2,650","2,740","2,650","8.59M","3.41%"
"09/09/2024","2,640","2,680","2,710","2,610","10.37M","-1.49%"
"09/06/2024","2,680","2,750","2,780","2,650","11.75M","-2.19%"
"09/05/2024","2,740","2,620","2,740","2,620","9.22M","4.18%"
"09/04/2024","2,630","2,620","2,630","2,600","7.36M","0.77%"
"09/03/2024","2,610","2,620","2,660","2,600","3.99M","-1.14%"
"09/02/2024","2,640","2,660","2,670","2,610","8.15M","-0.75%"
"08/30/2024","2,660","2,690","2,690","2,650","9.95M","-1.12%"
"08/29/2024","2,690","2,680","2,700","2,650","7.23M","0.00%"
"08/28/2024","2,690","2,660","2,700","2,650","4.57M","1.51%"
"08/27/2024","2,650","2,670","2,670","2,630","4.18M","0.00%"
"08/26/2024","2,650","2,680","2,680","2,630","7.48M","-1.12%"
"08/23/2024","2,680","2,600","2,690","2,600","9.69M","3.08%"
"08/22/2024","2,600","2,640","2,660","2,570","8.88M","-1.52%"
"08/21/2024","2,640","2,660","2,680","2,620","8.53M","-0.38%"
"08/20/2024","2,650","2,680","2,720","2,650","4.72M","-0.75%"
"08/19/2024","2,670","2,680","2,740","2,660","7.76M","-0.37%"
"08/16/2024","2,680","2,720","2,720","2,670","4.94M","-1.11%"
"08/15/2024","2,710","2,700","2,730","2,620","20.11M","0.37%"
"08/14/2024","2,700","2,610","2,720","2,600","18.68M","3.85%"
"08/13/2024","2,600","2,660","2,660","2,560","11.03M","1.56%"
"08/12/2024","2,560","2,550","2,580","2,550","3.04M","0.39%"
"08/09/2024","2,550","2,550","2,570","2,530","6.41M","-0.39%"
"08/08/2024","2,560","2,590","2,590","2,550","6.53M","-1.16%"
"08/07/2024","2,590","2,570","2,590","2,540","6.40M","0.78%"
"08/06/2024","2,570","2,470","2,570","2,470","15.49M","4.05%"
"08/05/2024","2,470","2,470","2,470","2,390","17.90M","0.00%"
"08/02/2024","2,470","2,530","2,540","2,470","10.25M","-2.37%"
"08/01/2024","2,530","2,600","2,620","2,510","10.09M","-3.07%"
"07/31/2024","2,610","2,600","2,630","2,590","4.50M","1.56%"
"07/30/2024","2,570","2,590","2,650","2,570","11.61M","-0.39%"
"07/29/2024","2,580","2,620","2,630","2,570","6.14M","-1.15%"
"07/26/2024","2,610","2,550","2,630","2,550","7.52M","2.76%"
"07/25/2024","2,540","2,520","2,570","2,520","8.58M","1.20%"
"07/24/2024","2,510","2,570","2,570","2,500","3.38M","-2.33%"
"07/23/2024","2,570","2,590","2,630","2,560","8.39M","-1.15%"
"07/22/2024","2,600","2,590","2,630","2,560","6.42M","0.78%"
"07/19/2024","2,580","2,600","2,620","2,550","7.84M","-0.77%"
"07/18/2024","2,600","2,440","2,640","2,440","23.17M","6.12%"
"07/17/2024","2,450","2,500","2,530","2,380","18.02M","-2.00%"
"07/16/2024","2,500","2,480","2,500","2,480","4.71M","0.81%"
"07/15/2024","2,480","2,490","2,500","2,460","6.83M","0.00%"
"07/12/2024","2,480","2,460","2,490","2,430","8.49M","1.22%"
"07/11/2024","2,450","2,410","2,470","2,410","5.43M","1.66%"
"07/10/2024","2,410","2,430","2,430","2,400","9.85M","-0.82%"
"07/09/2024","2,430","2,450","2,450","2,420","3.66M","-0.82%"
"07/08/2024","2,450","2,450","2,460","2,420","3.84M","0.41%"
"07/05/2024","2,440","2,450","2,460","2,420","4.34M","0.41%"
"07/04/2024","2,430","2,450","2,490","2,420","7.58M","-0.82%"
"07/03/2024","2,450","2,370","2,490","2,360","13.65M","3.81%"
"07/02/2024","2,360","2,360","2,380","2,320","2.36M","0.00%"
"07/01/2024","2,360","2,350","2,380","2,320","9.77M","0.43%"
"06/28/2024","2,350","2,370","2,380","2,350","10.53M","-0.84%"
"06/27/2024","2,370","2,370","2,380","2,350","3.46M","0.42%"
"06/26/2024","2,360","2,350","2,360","2,340","1.21M","0.43%"
"06/25/2024","2,350","2,380","2,390","2,340","4.97M","-1.67%"
"06/24/2024","2,390","2,380","2,430","2,350","6.27M","0.42%"
"06/21/2024","2,380","2,350","2,390","2,350","2.98M","1.28%"
