Date;Price;Price_number;Open;High;Low;Vol.;Change %
04/01/2021;6,835;6835;6,8;6,855;6,72;47.94M;0.96%
05/01/2021;7,09;7090;6,86;7,09;6,85;104.83M;3.73%
06/01/2021;6,945;6945;7,05;7,075;6,88;89.75M;-2.05%
07/01/2021;6,965;6965;7;7,05;6,91;71.36M;0.29%
08/01/2021;7,05;7050;7,035;7,08;6,975;75.03M;1.22%
11/01/2021;7,345;7345;7,15;7,36;7,145;169.03M;4.18%
12/01/2021;7,16;7160;7,345;7,38;7,16;95.24M;-2.52%
13/01/2021;7,12;7120;7,245;7,275;7,07;76.58M;-0.56%
14/01/2021;7,02;7020;7,05;7,09;6,995;89.32M;-1.40%
15/01/2021;6,955;6955;7,095;7,1;6,84;89.85M;-0.93%
18/01/2021;7,12;7120;6,955;7,125;6,845;86.34M;2.37%
19/01/2021;7,095;7095;7,12;7,12;7,005;73.78M;-0.35%
20/01/2021;7,095;7095;7,165;7,295;7,07;107.22M;0.00%
21/01/2021;7,075;7075;7,28;7,3;7,06;66.43M;-0.28%
22/01/2021;7,08;7080;7,075;7,16;7,075;80.83M;0.07%
25/01/2021;7,035;7035;7,2;7,2;7;76.84M;-0.64%
26/01/2021;6,82;6820;6,955;7;6,82;98.66M;-3.06%
27/01/2021;6,79;6790;6,82;6,93;6,705;97.92M;-0.44%
28/01/2021;6,9;6900;6,79;6,925;6,79;104.63M;1.62%
29/01/2021;6,76;6760;6,9;7;6,76;132.76M;-2.03%
01/02/2021;6,82;6820;6,76;6,92;6,595;113.13M;0.89%
02/02/2021;6,8;6800;6,965;6,98;6,8;86.74M;-0.29%
03/02/2021;6,825;6825;7;7;6,825;67.29M;0.37%
04/02/2021;6,855;6855;6,92;7;6,835;80.95M;0.44%
05/02/2021;6,915;6915;6,87;6,95;6,855;51.60M;0.88%
08/02/2021;6,92;6920;7,05;7,055;6,88;45.60M;0.07%
09/02/2021;6,98;6980;7;7,03;6,955;75.57M;0.87%
10/02/2021;6,92;6920;7,05;7,05;6,9;44.98M;-0.86%
11/02/2021;6,88;6880;6,985;6,985;6,84;36.93M;-0.58%
15/02/2021;6,8;6800;6,83;6,89;6,72;83.92M;-1.16%
16/02/2021;6,94;6940;6,88;6,945;6,83;47.22M;2.06%
17/02/2021;6,9;6900;6,89;6,96;6,85;66.01M;-0.58%
18/02/2021;6,735;6735;6,85;6,9;6,735;91.20M;-2.39%
19/02/2021;6,825;6825;6,78;6,85;6,76;70.49M;1.34%
22/02/2021;6,79;6790;6,9;6,94;6,79;68.91M;-0.51%
23/02/2021;6,825;6825;6,82;6,845;6,775;58.36M;0.52%
24/02/2021;6,725;6725;6,825;6,835;6,725;71.87M;-1.47%
25/02/2021;6,705;6705;6,74;6,77;6,68;78.69M;-0.30%
26/02/2021;6,71;6710;6,705;6,81;6,645;173.63M;0.07%
01/03/2021;7,045;7045;6,83;7,045;6,8;205.54M;4.99%
02/03/2021;7,015;7015;7,12;7,16;7;81.45M;-0.43%
03/03/2021;7;7000;7,065;7,085;7;84.47M;-0.21%
04/03/2021;6,72;6720;6,905;7;6,72;120.80M;-4.00%
05/03/2021;6,8;6800;6,72;6,925;6,72;111.87M;1.19%
08/03/2021;6,72;6720;6,95;6,95;6,72;90.88M;-1.18%
09/03/2021;6,605;6605;6,7;6,715;6,6;135.58M;-1.71%
10/03/2021;6,705;6705;6,72;6,72;6,62;50.30M;1.51%
12/03/2021;6,765;6765;6,875;6,88;6,715;74.33M;0.89%
15/03/2021;6,665;6665;6,815;6,82;6,665;57.42M;-1.48%
16/03/2021;6,625;6625;6,71;6,71;6,62;70.76M;-0.60%
17/03/2021;6,61;6610;6,65;6,665;6,605;71.47M;-0.23%
18/03/2021;6,705;6705;6,62;6,72;6,61;70.07M;1.44%
19/03/2021;6,76;6760;6,77;6,77;6,625;125.85M;0.82%
22/03/2021;6,62;6620;6,64;6,68;6,61;67.52M;-2.07%
23/03/2021;6,565;6565;6,72;6,72;6,555;127.76M;-0.83%
24/03/2021;6,44;6440;6,515;6,55;6,42;152.05M;-1.90%
25/03/2021;6,37;6370;6,4;6,44;6,33;119.10M;-1.09%
26/03/2021;6,415;6415;6,37;6,445;6,3;134.47M;0.71%
29/03/2021;6,36;6360;6,41;6,515;6,36;113.37M;-0.86%
30/03/2021;6,395;6395;6,37;6,455;6,37;83.12M;0.55%
31/03/2021;6,215;6215;6,39;6,395;6,145;223.39M;-2.81%
01/04/2021;6,225;6225;6,215;6,27;6,155;112.29M;0.16%
05/04/2021;6,155;6155;6,25;6,29;6,155;73.31M;-1.12%
06/04/2021;6,165;6165;6,135;6,17;6,08;80.22M;0.16%
07/04/2021;6,25;6250;6,155;6,275;6,135;107.91M;1.38%
08/04/2021;6,135;6135;6,2;6,215;6,125;123.70M;-1.84%
09/04/2021;6,2;6200;6,315;6,32;6,145;116.96M;1.06%
12/04/2021;6,065;6065;6,295;6,295;6,06;110.41M;-2.18%
13/04/2021;6;6000;6,05;6,06;5,98;119.21M;-1.07%
14/04/2021;6,305;6305;6,105;6,305;6,06;135.52M;5.08%
15/04/2021;6,28;6280;6,305;6,31;6,18;102.69M;-0.40%
16/04/2021;6,275;6275;6,37;6,37;6,215;79.29M;-0.08%
19/04/2021;6,27;6270;6,275;6,28;6,23;47.10M;-0.08%
20/04/2021;6,235;6235;6,2;6,25;6,185;72.72M;-0.56%
21/04/2021;6,165;6165;6,2;6,225;6,165;68.40M;-1.12%
22/04/2021;6,215;6215;6,2;6,275;6,18;63.76M;0.81%
23/04/2021;6,39;6390;6,28;6,395;6,225;108.50M;2.82%
26/04/2021;6,285;6285;6,395;6,4;6,28;108.74M;-1.64%
27/04/2021;6,405;6405;6,37;6,435;6,355;132.65M;1.91%
28/04/2021;6,32;6320;6,4;6,405;6,315;87.66M;-1.33%
29/04/2021;6,41;6410;6,46;6,46;6,36;57.36M;1.42%
30/04/2021;6,405;6405;6,45;6,45;6,38;65.83M;-0.08%
03/05/2021;6,39;6390;6,48;6,48;6,345;42.07M;-0.23%
04/05/2021;6,4;6400;6,35;6,43;6,34;50.12M;0.16%
05/05/2021;6,425;6425;6,42;6,43;6,4;51.69M;0.39%
06/05/2021;6,425;6425;6,4;6,45;6,4;38.12M;0.00%
07/05/2021;6,4;6400;6,46;6,46;6,385;48.86M;-0.39%
10/05/2021;6,42;6420;6,4;6,42;6,395;68.18M;0.31%
11/05/2021;6,48;6480;6,4;6,48;6,305;70.68M;0.93%
17/05/2021;6,5;6500;6,5;6,5;6,375;129.06M;0.31%
18/05/2021;6,39;6390;6,4;6,455;6,365;73.56M;-1.69%
19/05/2021;6,345;6345;6,38;6,4;6,335;64.91M;-0.70%
20/05/2021;6,38;6380;6,39;6,435;6,35;64.95M;0.55%
21/05/2021;6,36;6360;6,45;6,45;6,26;92.62M;-0.31%
24/05/2021;6,325;6325;6,355;6,38;6,29;59.21M;-0.55%
25/05/2021;6,355;6355;6,3;6,44;6,3;87.47M;0.47%
27/05/2021;6,27;6270;6,44;6,48;6,27;537.97M;-1.34%
28/05/2021;6,34;6340;6,33;6,37;6,33;102.11M;1.12%
31/05/2021;6,375;6375;6,36;6,39;6,325;101.44M;0.55%
02/06/2021;6,465;6465;6,5;6,515;6,42;141.73M;1.41%
03/06/2021;6,6;6600;6,495;6,6;6,43;133.81M;2.09%
04/06/2021;6,58;6580;6,62;6,62;6,5;62.11M;-0.30%
07/06/2021;6,53;6530;6,56;6,57;6,43;62.58M;-0.76%
08/06/2021;6,43;6430;6,575;6,575;6,43;64.35M;-1.53%
09/06/2021;6,53;6530;6,36;6,535;6,36;77.20M;1.56%
10/06/2021;6,62;6620;6,555;6,62;6,49;73.26M;1.38%
11/06/2021;6,47;6470;6,57;6,58;6,46;72.78M;-2.27%
14/06/2021;6,41;6410;6,52;6,52;6,4;61.48M;-0.93%
15/06/2021;6,47;6470;6,445;6,47;6,405;87.80M;0.94%
16/06/2021;6,385;6385;6,42;6,435;6,36;48.98M;-1.31%
17/06/2021;6,33;6330;6,39;6,39;6,275;68.45M;-0.86%
18/06/2021;6,325;6325;6,3;6,345;6,28;118.04M;-0.08%
21/06/2021;6,25;6250;6,3;6,3;6,21;60.82M;-1.19%
22/06/2021;6,34;6340;6,25;6,39;6,24;65.82M;1.44%
23/06/2021;6,23;6230;6,295;6,34;6,23;52.45M;-1.74%
24/06/2021;6,21;6210;6,31;6,31;6,2;56.01M;-0.32%
25/06/2021;6,19;6190;6,23;6,26;6,19;68.94M;-0.32%
28/06/2021;6,055;6055;6,1;6,15;6,055;84.42M;-2.18%
29/06/2021;6,045;6045;6,05;6,09;6,04;53.70M;-0.17%
30/06/2021;6,025;6025;6;6,07;6;65.80M;-0.33%
01/07/2021;6,025;6025;6,06;6,075;6;58.15M;0.00%
02/07/2021;6,1;6100;6,07;6,14;6,04;67.39M;1.24%
05/07/2021;6,11;6110;6,1;6,13;6,07;39.71M;0.16%
06/07/2021;6,055;6055;6,11;6,11;6,055;34.28M;-0.90%
07/07/2021;6,065;6065;6,18;6,18;6,03;35.60M;0.17%
08/07/2021;6,015;6015;6;6,04;5,98;47.30M;-0.82%
09/07/2021;6,02;6020;6,01;6,02;5,99;40.71M;0.08%
12/07/2021;6,17;6170;6,07;6,18;6,02;65.98M;2.49%
13/07/2021;6,045;6045;6,17;6,175;6,015;65.95M;-2.03%
14/07/2021;5,99;5990;6,02;6,03;5,98;59.32M;-0.91%
15/07/2021;6,115;6115;6;6,115;5,995;49.72M;2.09%
16/07/2021;6,11;6110;6,17;6,17;6,055;48.00M;-0.08%
19/07/2021;6,005;6005;6,11;6,11;6,005;47.12M;-1.72%
21/07/2021;6,01;6010;6,05;6,12;6,01;55.01M;0.08%
22/07/2021;6,155;6155;6,115;6,155;6,05;60.79M;2.41%
23/07/2021;6,035;6035;6,18;6,19;6,025;79.94M;-1.95%
26/07/2021;6,005;6005;6,04;6,06;6,005;48.17M;-0.50%
27/07/2021;6,005;6005;6,005;6,06;6;53.11M;0.00%
28/07/2021;5,98;5980;6,005;6,01;5,97;74.13M;-0.42%
29/07/2021;6,04;6040;6,055;6,085;5,98;84.61M;1.00%
30/07/2021;5,97;5970;6,04;6,1;5,96;105.69M;-1.16%
02/08/2021;5,96;5960;6,06;6,065;5,905;119.98M;-0.17%
03/08/2021;6,145;6145;6,025;6,18;5,985;110.07M;3.10%
04/08/2021;6,12;6120;6,145;6,15;6,06;41.11M;-0.41%
05/08/2021;6,3;6300;6,17;6,31;6,14;93.77M;2.94%
06/08/2021;6,16;6160;6,36;6,36;6,135;67.29M;-2.22%
09/08/2021;6,2;6200;6,135;6,2;6,105;52.86M;0.65%
10/08/2021;6,3;6300;6,25;6,3;6,115;60.45M;1.61%
12/08/2021;6,3;6300;6,12;6,32;6,12;118.33M;0.00%
13/08/2021;6,41;6410;6,35;6,435;6,325;86.93M;1.75%
16/08/2021;6,42;6420;6,42;6,42;6,305;69.28M;0.16%
18/08/2021;6,6;6600;6,52;6,76;6,46;186.35M;2.80%
19/08/2021;6,6;6600;6,6;6,6;6,53;100.93M;0.00%
20/08/2021;6,6;6600;6,6;6,6;6,51;120.16M;0.00%
23/08/2021;6,59;6590;6,515;6,59;6,515;68.25M;-0.15%
24/08/2021;6,6;6600;6,57;6,6;6,5;59.56M;0.15%
25/08/2021;6,6;6600;6,6;6,605;6,585;80.75M;0.00%
26/08/2021;6,56;6560;6,56;6,58;6,47;74.34M;-0.61%
27/08/2021;6,51;6510;6,49;6,53;6,49;71.57M;-0.76%
30/08/2021;6,565;6565;6,53;6,58;6,52;74.56M;0.84%
31/08/2021;6,55;6550;6,52;6,57;6,515;115.37M;-0.23%
01/09/2021;6,565;6565;6,55;6,6;6,535;67.36M;0.23%
02/09/2021;6,54;6540;6,525;6,575;6,455;53.26M;-0.38%
03/09/2021;6,6;6600;6,56;6,6;6,515;35.76M;0.92%
06/09/2021;6,575;6575;6,6;6,605;6,55;36.78M;-0.38%
07/09/2021;6,57;6570;6,595;6,605;6,57;53.90M;-0.08%
08/09/2021;6,44;6440;6,55;6,595;6,42;77.89M;-1.98%
09/09/2021;6,57;6570;6,41;6,57;6,41;110.07M;2.02%
10/09/2021;6,52;6520;6,495;6,565;6,495;41.48M;-0.76%
13/09/2021;6,555;6555;6,56;6,56;6,525;29.93M;0.54%
14/09/2021;6,545;6545;6,59;6,595;6,495;51.99M;-0.15%
15/09/2021;6,495;6495;6,545;6,55;6,485;44.51M;-0.76%
16/09/2021;6,5;6500;6,58;6,58;6,48;58.67M;0.08%
17/09/2021;6,52;6520;6,49;6,535;6,48;117.54M;0.31%
20/09/2021;6,585;6585;6,57;6,59;6,51;73.16M;1.00%
21/09/2021;6,49;6490;6,51;6,535;6,47;57.12M;-1.44%
22/09/2021;6,555;6555;6,5;6,58;6,5;68.72M;1.00%
23/09/2021;6,58;6580;6,555;6,59;6,545;61.00M;0.38%
24/09/2021;6,585;6585;6,5;6,585;6,5;60.54M;0.08%
27/09/2021;6,58;6580;6,585;6,595;6,555;55.05M;-0.08%
28/09/2021;6,52;6520;6,54;6,56;6,5;80.19M;-0.91%
29/09/2021;6,58;6580;6,52;6,58;6,515;74.08M;0.92%
30/09/2021;7;7000;6,6;7;6,595;156.85M;6.38%
01/10/2021;6,76;6760;6,9;6,9;6,71;103.95M;-3.43%
04/10/2021;6,96;6960;6,74;6,96;6,74;74.72M;2.96%
05/10/2021;6,945;6945;6,91;6,945;6,86;54.99M;-0.22%
06/10/2021;7,18;7180;6,98;7,18;6,97;174.31M;3.38%
07/10/2021;7,16;7160;7,175;7,175;7,08;107.26M;-0.28%
08/10/2021;7,29;7290;7,2;7,3;7,175;94.64M;1.82%
11/10/2021;7,255;7255;7,24;7,29;7,23;47.20M;-0.48%
12/10/2021;7,32;7320;7,255;7,32;7,245;91.07M;0.90%
13/10/2021;7,525;7525;7,4;8,25;7,4;210.89M;2.80%
14/10/2021;7,75;7750;7,6;7,9;7,6;138.81M;2.99%
15/10/2021;7,65;7650;7,8;7,875;7,45;142.38M;-1.29%
18/10/2021;7,525;7525;7,65;7,675;7,475;116.64M;-1.63%
19/10/2021;7,5;7500;7,475;7,525;7,35;134.60M;-0.33%
21/10/2021;7,4;7400;7,5;7,55;7,35;106.12M;-1.33%
22/10/2021;7,525;7525;7,45;7,55;7,425;96.73M;1.69%
25/10/2021;7,525;7525;7,4;7,525;7,4;60.33M;0.00%
26/10/2021;7,525;7525;7,6;7,6;7,5;70.10M;0.00%
27/10/2021;7,45;7450;7,575;7,575;7,425;57.07M;-1.00%
28/10/2021;7,375;7375;7,35;7,425;7,35;75.27M;-1.01%
29/10/2021;7,475;7475;7,45;7,475;7,375;60.64M;1.36%
01/11/2021;7,4;7400;7,55;7,55;7,4;38.59M;-1.00%
02/11/2021;7,3;7300;7,375;7,425;7,25;90.54M;-1.35%
03/11/2021;7,35;7350;7,3;7,4;7,25;61.62M;0.68%
04/11/2021;7,375;7375;7,425;7,475;7,375;61.08M;0.34%
05/11/2021;7,45;7450;7,475;7,475;7,375;43.12M;1.02%
08/11/2021;7,575;7575;7,5;7,6;7,45;85.44M;1.68%
09/11/2021;7,675;7675;7,6;7,675;7,575;101.79M;1.32%
10/11/2021;7,65;7650;7,675;7,675;7,575;47.50M;-0.33%
11/11/2021;7,675;7675;7,7;7,75;7,6;55.79M;0.33%
12/11/2021;7,525;7525;7,75;7,75;7,525;52.59M;-1.95%
15/11/2021;7,5;7500;7,625;7,625;7,5;67.34M;-0.33%
16/11/2021;7,475;7475;7,4;7,475;7,325;98.62M;-0.33%
17/11/2021;7,575;7575;7,5;7,575;7,425;61.97M;1.34%
18/11/2021;7,4;7400;7,425;7,5;7,4;78.84M;-2.31%
19/11/2021;7,425;7425;7,425;7,45;7,375;68.20M;0.34%
22/11/2021;7,475;7475;7,425;7,525;7,4;66.33M;0.67%
23/11/2021;7,475;7475;7,4;7,5;7,4;43.48M;0.00%
24/11/2021;7,475;7475;7,575;7,575;7,425;35.18M;0.00%
25/11/2021;7,425;7425;7,45;7,525;7,425;40.22M;-0.67%
26/11/2021;7,275;7275;7,4;7,45;7,25;113.29M;-2.02%
29/11/2021;7,4;7400;7,275;7,425;7,175;87.91M;1.72%
30/11/2021;7,275;7275;7,325;7,425;7,275;144.92M;-1.69%
01/12/2021;7,3;7300;7,275;7,45;7,275;76.54M;0.34%
02/12/2021;7,5;7500;7,375;7,5;7,3;66.83M;2.74%
03/12/2021;7,375;7375;7,525;7,525;7,35;63.28M;-1.67%
